term 	 tf-idf weight 	 BM25 ranking 
 abolition 	 218.07684458032074 1.9156064339508632 
loose 	 6188.426023737586 0.9134478523615482 
aims 	 1751.8166395679664 1.4321495899156875 
provide 	 2279.419826019224 0.9134478523615482 
concerned 	 3230.961742643034 0.9134478523615482 
issues 	 467.3367288809501 1.5415724052259656 
forum 	 3123.224258114454 0.9134478523615482 
exchange 	 3194.082723385832 0.9134478523615482 
information 	 372.6825825369826 1.4321495899156875 
development 	 391.56981162514467 1.5415724052259656 
joint 	 3389.497708636526 0.9134478523615482 
initiatives 	 5642.669988223996 0.9134478523615482 
tightness 	 8054.378233804959 0.9134478523615482 
tautness 	 8054.378233804959 0.9134478523615482 
web 	 1381.070466079008 1.2541125136269544 
defined 	 1834.490146814022 1.2541125136269544 
close 	 3158.1872628132433 0.9134478523615482 
lines 	 3268.8797430402074 0.9134478523615482 
communication 	 1653.9484838358026 1.2541125136269544 
plans 	 583.9759095016302 1.5415724052259656 
office 	 441.5232271979799 1.6156376955035618 
california 	 1738.1832790438484 1.2541125136269544 
usa 	 322.3363237922929 1.7665232383572274 
staffed 	 7121.402128771272 0.9134478523615482 
facilitator 	 8054.378233804959 0.9134478523615482 
overseen 	 8054.378233804959 0.9134478523615482 
management 	 747.6797443283615 1.4321495899156875 
substantive 	 1962.6916012228867 1.4321495899156875 
relating 	 4240.873072705292 0.9134478523615482 
review 	 1816.0330156478685 0.9134478523615482 
extend 	 4709.69388319031 0.9134478523615482 
treaty 	 944.179444539156 1.5415724052259656 
activists 	 4826.8111966183515 0.9134478523615482 
representing 	 3618.1818121631313 0.9134478523615482 
ngos 	 2373.800709590424 1.4321495899156875 
met 	 1465.305261287054 1.2541125136269544 
day 	 1869.3469155238004 0.9134478523615482 
coordinate 	 1811.727724392169 1.4321495899156875 
called 	 785.0902928723491 1.4321495899156875 
consensus 	 2062.808674579195 1.4321495899156875 
document 	 3569.230963109134 0.9134478523615482 
known 	 2456.52160360284 0.9134478523615482 
weeks 	 3668.980293628044 0.9134478523615482 
signed 	 1465.305261287054 1.2541125136269544 
added 	 3307.896967671605 0.9134478523615482 
meeting 	 441.30664122394285 1.709504720340356 
draft 	 4322.473813670213 0.9134478523615482 
convention 	 864.4947627340425 1.6156376955035618 
demand 	 1615.480871321517 1.2541125136269544 
prime 	 3023.474927595545 0.9134478523615482 
focus 	 1076.9872475476782 1.4321495899156875 
lobbying 	 1019.3827905420814 1.6156376955035618 
delegates 	 5435.183173176507 0.9134478523615482 
initiate 	 6188.426023737586 0.9134478523615482 
immediately 	 3668.980293628044 0.9134478523615482 
conclude 	 5435.183173176507 0.9134478523615482 
negotiations 	 1500.7356893809401 1.4321495899156875 
requires 	 3432.231456567951 0.9134478523615482 
phased 	 7121.402128771272 0.9134478523615482 
timebound 	 8054.378233804959 0.9134478523615482 
framework 	 4322.473813670213 0.9134478523615482 
provisions 	 4322.473813670213 0.9134478523615482 
effective 	 2815.988112548055 0.9134478523615482 
verification 	 5255.449918703899 0.9134478523615482 
enforcement 	 3776.717778156624 0.9134478523615482 
requested 	 4826.8111966183515 0.9134478523615482 
parties 	 1480.4294932754894 1.2541125136269544 
adopt 	 5255.449918703899 0.9134478523615482 
goal 	 3618.1818121631313 0.9134478523615482 
final 	 3194.082723385832 0.9134478523615482 
report 	 1061.467063493637 1.2541125136269544 
opposition 	 3023.474927595545 0.9134478523615482 
indefinite 	 5642.669988223996 0.9134478523615482 
unconditional 	 7121.402128771272 0.9134478523615482 
extension 	 4409.342663121383 0.9134478523615482 
expressed 	 3569.230963109134 0.9134478523615482 
original 	 3307.896967671605 0.9134478523615482 
updated 	 720.9723788021162 1.2541125136269544 
remove 	 4502.20706814282 0.9134478523615482 
references 	 5096.913952710407 0.9134478523615482 
dates 	 5642.669988223996 0.9134478523615482 
core 	 4163.937847676721 0.9134478523615482 
went 	 4240.873072705292 0.9134478523615482 
organise 	 3560.701064385636 1.2541125136269544 
hague 	 2717.5915865882534 1.2541125136269544 
coincide 	 6188.426023737586 0.9134478523615482 
oral 	 2204.6713315606917 1.2541125136269544 
hearings 	 5096.913952710407 0.9134478523615482 
justice 	 2872.0795619032197 0.9134478523615482 
november 	 1076.9872475476782 1.4321495899156875 
advisory 	 2717.5915865882534 1.2541125136269544 
opinion 	 1809.0909060815657 1.2541125136269544 
threat 	 1917.0015095821614 1.2541125136269544 
participants 	 2413.4055983091757 1.2541125136269544 
agreed 	 1222.993431209348 1.4321495899156875 
found 	 1260.5710063138406 1.2541125136269544 
structure 	 2355.2708786170474 0.9134478523615482 
title 	 518.4893144653537 1.4321495899156875 
chosen 	 4409.342663121383 0.9134478523615482 
idea 	 1784.615481554567 1.2541125136269544 
consisting 	 5435.183173176507 0.9134478523615482 
regions 	 704.3996093286329 1.6156376955035618 
distribution 	 3230.961742643034 0.9134478523615482 
communications 	 1441.9447576042323 0.9134478523615482 
centre 	 2413.4055983091757 1.2541125136269544 
titled 	 5435.183173176507 0.9134478523615482 
born 	 4409.342663121383 0.9134478523615482 
importantly 	 5435.183173176507 0.9134478523615482 
decided 	 1888.358889078312 1.2541125136269544 
central 	 1177.6354393085237 1.2541125136269544 
committee 	 2815.988112548055 0.9134478523615482 
decisions 	 1653.9484838358026 1.2541125136269544 
behalf 	 4322.473813670213 0.9134478523615482 
initially 	 5435.183173176507 0.9134478523615482 
common 	 483.0205902074779 1.6156376955035618 
strategy 	 1561.612129057227 1.2541125136269544 
action 	 903.455106054601 1.4321495899156875 
position 	 1953.499316020676 0.9134478523615482 
task 	 2204.6713315606917 1.2541125136269544 
setting 	 1561.612129057227 1.2541125136269544 
finding 	 3956.4510326292307 0.9134478523615482 
funding 	 3893.8350915846654 0.9134478523615482 
staff 	 2736.0041885943574 0.9134478523615482 
person 	 2589.021941609478 0.9134478523615482 
edinburgh 	 8054.378233804959 0.9134478523615482 
march 	 1465.305261287054 1.2541125136269544 
interim 	 3094.213011868793 1.2541125136269544 
function 	 2872.0795619032197 0.9134478523615482 
solely 	 5642.669988223996 0.9134478523615482 
oversee 	 5255.449918703899 0.9134478523615482 
functioning 	 5642.669988223996 0.9134478523615482 
lysiane 	 8054.378233804959 0.9134478523615482 
alizard 	 8054.378233804959 0.9134478523615482 
france 	 704.3996093286329 1.6156376955035618 
colin 	 6575.646093257683 0.9134478523615482 
archer 	 5888.074803668659 0.9134478523615482 
switzerland 	 5096.913952710407 0.9134478523615482 
janet 	 3560.701064385636 1.2541125136269544 
bloomfield 	 4027.1891169024793 1.2541125136269544 
reiner 	 8054.378233804959 0.9134478523615482 
braun 	 8054.378233804959 0.9134478523615482 
germany 	 277.81002109281457 1.8048310667924057 
jackie 	 2684.792744601653 1.4321495899156875 
cabasso 	 2684.792744601653 1.4321495899156875 
michael 	 3721.77137353236 0.9134478523615482 
christ 	 5435.183173176507 0.9134478523615482 
xanthe 	 2013.5945584512397 1.5415724052259656 
hall 	 989.1127581573077 1.5415724052259656 
pamela 	 4027.1891169024793 1.2541125136269544 
meidell 	 4027.1891169024793 1.2541125136269544 
alice 	 6575.646093257683 0.9134478523615482 
slater 	 8054.378233804959 0.9134478523615482 
alyn 	 8054.378233804959 0.9134478523615482 
ware 	 6188.426023737586 0.9134478523615482 
aotearoa 	 2684.792744601653 1.4321495899156875 
regionally 	 7121.402128771272 0.9134478523615482 
balanced 	 5642.669988223996 0.9134478523615482 
presently 	 5255.449918703899 0.9134478523615482 
hoped 	 5888.074803668659 0.9134478523615482 
full 	 2316.811119307348 0.9134478523615482 
pacific 	 2045.5816839234649 1.2541125136269544 
region 	 3089.1464885676 0.9134478523615482 
north 	 1187.4604313189593 1.2541125136269544 
america 	 878.7516193584825 1.4321495899156875 
south 	 2394.861968104718 0.9134478523615482 
europe 	 394.5915617368594 1.709504720340356 
asia 	 2251.10353407141 1.2541125136269544 
africa 	 3668.980293628044 0.9134478523615482 
middle 	 3158.1872628132433 0.9134478523615482 
east 	 2660.5077664820524 0.9134478523615482 
strongest 	 5642.669988223996 0.9134478523615482 
pac 	 6575.646093257683 0.9134478523615482 
ific 	 8054.378233804959 0.9134478523615482 
activity 	 2710.3653181638024 0.9134478523615482 
little 	 3123.224258114454 0.9134478523615482 
participatio 	 8054.378233804959 0.9134478523615482 
meetings 	 2081.9689238383603 1.2541125136269544 
establishing 	 4601.9563986617295 0.9134478523615482 
regional 	 1653.9484838358026 1.2541125136269544 
networks 	 941.938776638062 1.6156376955035618 
look 	 2156.1703835339135 0.9134478523615482 
strategies 	 1738.1832790438484 1.2541125136269544 
canada 	 1173.9993488810549 1.4321495899156875 
norway 	 1880.8899960746655 1.4321495899156875 
formally 	 2627.7249593519496 1.2541125136269544 
established 	 3230.961742643034 0.9134478523615482 
join 	 1173.9993488810549 1.4321495899156875 
contact 	 1086.5507121921737 1.2541125136269544 
kate 	 6188.426023737586 0.9134478523615482 
dewes 	 8054.378233804959 0.9134478523615482 
box 	 3476.366558087697 0.9134478523615482 
christchurch 	 8054.378233804959 0.9134478523615482 
zealand 	 5642.669988223996 0.9134478523615482 
tel 	 313.97959221268735 1.8530521619423135 
fax 	 177.44904018810178 1.8760253173191075 
mail 	 148.4325539148699 1.8616008563537987 
katie 	 8054.378233804959 0.9134478523615482 
chch 	 8054.378233804959 0.9134478523615482 
planet 	 4709.69388319031 0.9134478523615482 
debbie 	 8054.378233804959 0.9134478523615482 
grisdale 	 8054.378233804959 0.9134478523615482 
physicians 	 1651.6995662116576 1.4321495899156875 
survival 	 4826.8111966183515 0.9134478523615482 
booth 	 7121.402128771272 0.9134478523615482 
ottawa 	 6575.646093257683 0.9134478523615482 
ontario 	 5888.074803668659 0.9134478523615482 
k1r 	 8054.378233804959 0.9134478523615482 
pgs 	 1790.1476024929318 0.9134478523615482 
apc 	 618.8426023737585 1.7873889272841499 
org 	 343.2231456567951 1.7873889272841499 
ippnw 	 894.9309148672176 1.7665232383572274 
koertestrasse 	 2684.792744601653 1.4321495899156875 
berlin 	 1811.727724392169 1.4321495899156875 
oln 	 2684.792744601653 1.4321495899156875 
comlink 	 2684.792744601653 1.4321495899156875 
frederik 	 6575.646093257683 0.9134478523615482 
heffermehl 	 8054.378233804959 0.9134478523615482 
norwegian 	 7121.402128771272 0.9134478523615482 
peace 	 1041.0747527048181 1.4321495899156875 
juelsgt 	 8054.378233804959 0.9134478523615482 
oslo 	 8054.378233804959 0.9134478523615482 
karina 	 8054.378233804959 0.9134478523615482 
wood 	 4826.8111966183515 0.9134478523615482 
street 	 1436.0397809516098 1.2541125136269544 
suite 	 2717.5915865882534 1.2541125136269544 
washington 	 2843.7416731229373 0.9134478523615482 
panukes 	 8054.378233804959 0.9134478523615482 
igc 	 1780.350532192818 1.5415724052259656 
deal 	 2991.8028780814234 0.9134478523615482 
arising 	 4709.69388319031 0.9134478523615482 
concentrate 	 5888.074803668659 0.9134478523615482 
included 	 3089.1464885676 0.9134478523615482 
recommend 	 5888.074803668659 0.9134478523615482 
fluid 	 5888.074803668659 0.9134478523615482 
convenor 	 2013.5945584512397 1.5415724052259656 
remains 	 4022.1225936012866 0.9134478523615482 
meet 	 2788.7952684986735 0.9134478523615482 
regularly 	 5435.183173176507 0.9134478523615482 
communicate 	 4826.8111966183515 0.9134478523615482 
telephone 	 1674.0395280355378 1.2541125136269544 
post 	 2660.5077664820524 0.9134478523615482 
participate 	 1978.2255163146153 1.2541125136269544 
time 	 641.7043958053702 1.2541125136269544 
contacting 	 5642.669988223996 0.9134478523615482 
convened 	 805.4378233804958 1.7873889272841499 
juergen 	 8054.378233804959 0.9134478523615482 
scheffran 	 4027.1891169024793 1.2541125136269544 
inesap 	 8054.378233804959 0.9134478523615482 
institut 	 8054.378233804959 0.9134478523615482 
fuer 	 6575.646093257683 0.9134478523615482 
kernphysik 	 8054.378233804959 0.9134478523615482 
schlo 	 8054.378233804959 0.9134478523615482 
dfgartenstra 	 8054.378233804959 0.9134478523615482 
dfe 	 8054.378233804959 0.9134478523615482 
darmstadt 	 4027.1891169024793 1.2541125136269544 
rmany 	 8054.378233804959 0.9134478523615482 
hrzpub 	 8054.378233804959 0.9134478523615482 
nwc 	 2684.792744601653 1.4321495899156875 
start 	 1451.8783820268322 0.9134478523615482 
process 	 2106.6187757107373 0.9134478523615482 
complete 	 1495.9014390407117 1.2541125136269544 
involved 	 840.3806708758938 1.4321495899156875 
logical 	 5096.913952710407 0.9134478523615482 
step 	 3230.961742643034 0.9134478523615482 
engineers 	 5642.669988223996 0.9134478523615482 
scientists 	 2300.9781993308648 1.2541125136269544 
pugwash 	 8054.378233804959 0.9134478523615482 
set 	 499.40860438510543 1.5415724052259656 
study 	 1633.0367292741735 0.9134478523615482 
group's 	 7121.402128771272 0.9134478523615482 
outline 	 3776.717778156624 0.9134478523615482 
elements 	 2960.858986550979 0.9134478523615482 
model 	 938.662704182685 1.4321495899156875 
discussed 	 2660.5077664820524 0.9134478523615482 
various 	 1644.4921175671784 0.9134478523615482 
drafting 	 6188.426023737586 0.9134478523615482 
specific 	 1451.8783820268322 0.9134478523615482 
language 	 967.0089713768788 1.4321495899156875 
executive 	 3230.961742643034 0.9134478523615482 
summary 	 2762.140932158016 0.9134478523615482 
forwarded 	 8054.378233804959 0.9134478523615482 
canberra 	 8054.378233804959 0.9134478523615482 
commission 	 1511.7374637977725 1.2541125136269544 
experts 	 4240.873072705292 0.9134478523615482 
australian 	 6575.646093257683 0.9134478523615482 
government 	 1588.165907593995 0.9134478523615482 
discuss 	 755.3435556313248 1.6156376955035618 
concrete 	 5642.669988223996 0.9134478523615482 
measures 	 3389.497708636526 0.9134478523615482 
achieve 	 3521.9980466431643 0.9134478523615482 
abolish 	 3287.8230466288414 1.2541125136269544 
overcoming 	 5642.669988223996 0.9134478523615482 
threats 	 4409.342663121383 0.9134478523615482 
rob 	 3560.701064385636 1.2541125136269544 
green 	 1809.0909060815657 1.2541125136269544 
wcp 	 8054.378233804959 0.9134478523615482 
chiswick 	 8054.378233804959 0.9134478523615482 
house 	 2415.1029510373896 0.9134478523615482 
twyford 	 8054.378233804959 0.9134478523615482 
berks 	 7121.402128771272 0.9134478523615482 
rg10 	 8054.378233804959 0.9134478523615482 
robwcpuk 	 8054.378233804959 0.9134478523615482 
assessing 	 5255.449918703899 0.9134478523615482 
implications 	 1511.7374637977725 1.2541125136269544 
justice's 	 8054.378233804959 0.9134478523615482 
propose 	 6575.646093257683 0.9134478523615482 
act 	 2456.52160360284 0.9134478523615482 
ions 	 8054.378233804959 0.9134478523615482 
comply 	 5435.183173176507 0.9134478523615482 
ruling 	 1946.9175457923327 1.2541125136269544 
challenge 	 1946.9175457923327 1.2541125136269544 
doctrine 	 1978.2255163146153 1.2541125136269544 
deterrence 	 3094.213011868793 1.2541125136269544 
incompatible 	 6575.646093257683 0.9134478523615482 
brochure 	 2821.334994111998 1.2541125136269544 
rulings 	 5888.074803668659 0.9134478523615482 
deterring 	 8054.378233804959 0.9134478523615482 
war 	 2225.2111577795567 0.9134478523615482 
responsibly 	 7121.402128771272 0.9134478523615482 
available 	 421.3237551421475 1.6156376955035618 
test 	 653.7759486080415 1.6156376955035618 
ban 	 617.82929771352 1.6156376955035618 
wslf 	 4027.1891169024793 1.2541125136269544 
broadway 	 5435.183173176507 0.9134478523615482 
oakland 	 6575.646093257683 0.9134478523615482 
refers 	 5642.669988223996 0.9134478523615482 
testing 	 1946.9175457923327 1.2541125136269544 
truly 	 4709.69388319031 0.9134478523615482 
comprehensive 	 1511.7374637977725 1.2541125136269544 
prevents 	 5888.074803668659 0.9134478523615482 
closure 	 7121.402128771272 0.9134478523615482 
sites 	 3668.980293628044 0.9134478523615482 
ctbt 	 1017.3431612530388 1.709504720340356 
underway 	 6575.646093257683 0.9134478523615482 
geneva 	 2627.7249593519496 1.2541125136269544 
developed 	 895.0685690431484 1.4321495899156875 
technical 	 1716.1157282839756 1.2541125136269544 
capability 	 2081.9689238383603 1.2541125136269544 
replace 	 4502.20706814282 0.9134478523615482 
computer 	 3123.224258114454 0.9134478523615482 
simulated 	 5255.449918703899 0.9134478523615482 
tests 	 1340.7075312004288 1.4321495899156875 
messing 	 8054.378233804959 0.9134478523615482 
laptop 	 5888.074803668659 0.9134478523615482 
facilities 	 1738.1832790438484 1.2541125136269544 
bigger 	 3094.213011868793 1.2541125136269544 
football 	 8054.378233804959 0.9134478523615482 
stadiums 	 8054.378233804959 0.9134478523615482 
ground 	 1340.7075312004288 1.4321495899156875 
explosions 	 2373.800709590424 1.4321495899156875 
technically 	 6188.426023737586 0.9134478523615482 
material 	 369.86027737278255 1.709504720340356 
laser 	 2548.4569763552036 1.2541125136269544 
fusion 	 2944.0374018343296 1.2541125136269544 
lawrence 	 4322.473813670213 0.9134478523615482 
livermore 	 5888.074803668659 0.9134478523615482 
laboratory 	 4322.473813670213 0.9134478523615482 
bordeaux 	 8054.378233804959 0.9134478523615482 
megajoule 	 8054.378233804959 0.9134478523615482 
knowledge 	 2930.610522574108 0.9134478523615482 
understanding 	 3307.896967671605 0.9134478523615482 
subcritical 	 4027.1891169024793 1.2541125136269544 
hydrodynamic 	 8054.378233804959 0.9134478523615482 
hydronuclear 	 8054.378233804959 0.9134478523615482 
intertial 	 8054.378233804959 0.9134478523615482 
confinement 	 5435.183173176507 0.9134478523615482 
methods 	 2243.0392329850843 0.9134478523615482 
future 	 681.0886353652962 1.4321495899156875 
enable 	 4826.8111966183515 0.9134478523615482 
continue 	 3123.224258114454 0.9134478523615482 
collecting 	 5642.669988223996 0.9134478523615482 
data 	 2261.106618352146 0.9134478523615482 
experimenting 	 8054.378233804959 0.9134478523615482 
modernisation 	 8054.378233804959 0.9134478523615482 
miniaturisation 	 8054.378233804959 0.9134478523615482 
design 	 2521.142012627681 0.9134478523615482 
campaigning 	 1358.7957932941267 1.5415724052259656 
introduced 	 4163.937847676721 0.9134478523615482 
preamble 	 7121.402128771272 0.9134478523615482 
specifically 	 3055.9102320209604 0.9134478523615482 
refer 	 4709.69388319031 0.9134478523615482 
prevention 	 4322.473813670213 0.9134478523615482 
intention 	 5255.449918703899 0.9134478523615482 
concept 	 2710.3653181638024 0.9134478523615482 
favour 	 6575.646093257683 0.9134478523615482 
conclusion 	 3194.082723385832 0.9134478523615482 
recognising 	 8054.378233804959 0.9134478523615482 
fulfil 	 7121.402128771272 0.9134478523615482 
objectives 	 3194.082723385832 0.9134478523615482 
planning 	 3194.082723385832 0.9134478523615482 
following 	 1982.761338033278 0.9134478523615482 
completion 	 2548.4569763552036 1.2541125136269544 
planned 	 4091.1633678469298 0.9134478523615482 
united 	 1855.8191634649875 0.9134478523615482 
fissile 	 1342.3963723008264 1.6690992655140875 
materials 	 1597.041361692916 1.2541125136269544 
disarmament 	 1751.8166395679664 1.4321495899156875 
negotiate 	 5435.183173176507 0.9134478523615482 
cut 	 4502.20706814282 0.9134478523615482 
discussions 	 4240.873072705292 0.9134478523615482 
banning 	 7121.402128771272 0.9134478523615482 
completely 	 4601.9563986617295 0.9134478523615482 
destroying 	 6188.426023737586 0.9134478523615482 
stock 	 3618.1818121631313 0.9134478523615482 
piles 	 7121.402128771272 0.9134478523615482 
production 	 986.9529955169929 1.4321495899156875 
civilian 	 2821.334994111998 1.2541125136269544 
sector 	 2081.9689238383603 1.2541125136269544 
stockpiles 	 8054.378233804959 0.9134478523615482 
remain 	 3389.497708636526 0.9134478523615482 
status 	 2225.2111577795567 0.9134478523615482 
quo 	 5435.183173176507 0.9134478523615482 
perpetuated 	 5888.074803668659 0.9134478523615482 
declared 	 4409.342663121383 0.9134478523615482 
retain 	 5435.183173176507 0.9134478523615482 
forbidding 	 6575.646093257683 0.9134478523615482 
disallowing 	 7121.402128771272 0.9134478523615482 
military 	 487.13059370508614 1.6156376955035618 
repeats 	 7121.402128771272 0.9134478523615482 
mistake 	 5888.074803668659 0.9134478523615482 
ignoring 	 5642.669988223996 0.9134478523615482 
energy 	 1436.0397809516098 1.2541125136269544 
produces 	 5888.074803668659 0.9134478523615482 
bomb 	 2300.9781993308648 1.2541125136269544 
diverted 	 7121.402128771272 0.9134478523615482 
legally 	 4826.8111966183515 0.9134478523615482 
illegally 	 5642.669988223996 0.9134478523615482 
purposes 	 3268.8797430402074 0.9134478523615482 
question 	 2636.2548580754474 0.9134478523615482 
cuts 	 4709.69388319031 0.9134478523615482 
source 	 3307.896967671605 0.9134478523615482 
pul 	 8054.378233804959 0.9134478523615482 
ling 	 6188.426023737586 0.9134478523615482 
plug 	 7121.402128771272 0.9134478523615482 
chernobyl 	 2684.792744601653 1.4321495899156875 
mother 	 3956.4510326292307 0.9134478523615482 
earth 	 3721.77137353236 0.9134478523615482 
lange 	 7121.402128771272 0.9134478523615482 
steenstraat 	 8054.378233804959 0.9134478523615482 
gent 	 8054.378233804959 0.9134478523615482 
fme 	 8054.378233804959 0.9134478523615482 
int 	 6188.426023737586 0.9134478523615482 
knooppunt 	 8054.378233804959 0.9134478523615482 
originally 	 4409.342663121383 0.9134478523615482 
activities 	 1207.5514755186948 1.2541125136269544 
anniversary 	 5888.074803668659 0.9134478523615482 
catastrophe 	 6188.426023737586 0.9134478523615482 
petition 	 5096.913952710407 0.9134478523615482 
addressed 	 4409.342663121383 0.9134478523615482 
boutros 	 8054.378233804959 0.9134478523615482 
ghali 	 8054.378233804959 0.9134478523615482 
iaea 	 8054.378233804959 0.9134478523615482 
promoting 	 4601.9563986617295 0.9134478523615482 
power 	 1939.1034568695334 0.9134478523615482 
alternative 	 2991.8028780814234 0.9134478523615482 
agency 	 2843.7416731229373 0.9134478523615482 
circulated 	 6575.646093257683 0.9134478523615482 
initial 	 3834.0030191643227 0.9134478523615482 
breeding 	 5888.074803668659 0.9134478523615482 
cooperative 	 4826.8111966183515 0.9134478523615482 
environmental 	 3023.474927595545 0.9134478523615482 
pro 	 3476.366558087697 0.9134478523615482 
lobby 	 4240.873072705292 0.9134478523615482 
tried 	 4163.937847676721 0.9134478523615482 
claim 	 3268.8797430402074 0.9134478523615482 
medical 	 2566.01283430786 0.9134478523615482 
consequences 	 3307.896967671605 0.9134478523615482 
accident 	 4502.20706814282 0.9134478523615482 
low 	 2660.5077664820524 0.9134478523615482 
deaths 	 2548.4569763552036 1.2541125136269544 
calculations 	 8054.378233804959 0.9134478523615482 
german 	 1615.480871321517 1.2541125136269544 
figure 	 3776.717778156624 0.9134478523615482 
increase 	 2815.988112548055 0.9134478523615482 
thyroid 	 8054.378233804959 0.9134478523615482 
cancer 	 4409.342663121383 0.9134478523615482 
times 	 2190.2481530807677 0.9134478523615482 
worst 	 5255.449918703899 0.9134478523615482 
hit 	 4955.098698634973 0.9134478523615482 
diabetes 	 7121.402128771272 0.9134478523615482 
figures 	 1760.9990233215822 1.2541125136269544 
doubled 	 6188.426023737586 0.9134478523615482 
main 	 1207.5514755186948 1.2541125136269544 
suffering 	 3834.0030191643227 0.9134478523615482 
physical 	 2543.390453054011 0.9134478523615482 
psychological 	 3089.1464885676 0.9134478523615482 
security 	 259.5448486673912 1.7665232383572274 
solange 	 7121.402128771272 0.9134478523615482 
fernex 	 8054.378233804959 0.9134478523615482 
wilpf 	 8054.378233804959 0.9134478523615482 
greens 	 6188.426023737586 0.9134478523615482 
biederthal 	 8054.378233804959 0.9134478523615482 
looking 	 3023.474927595545 0.9134478523615482 
nato 	 624.6448516228908 1.6156376955035618 
weu 	 2013.5945584512397 1.5415724052259656 
unacceptability 	 8054.378233804959 0.9134478523615482 
alliances 	 6188.426023737586 0.9134478523615482 
solving 	 2300.9781993308648 1.2541125136269544 
accepte 	 8054.378233804959 0.9134478523615482 
european 	 1271.6952265270054 1.2541125136269544 
leg 	 4826.8111966183515 0.9134478523615482 
opportunity 	 3123.224258114454 0.9134478523615482 
discussion 	 499.40860438510543 1.5415724052259656 
policy 	 2139.4496716158556 0.9134478523615482 
emerging 	 4409.342663121383 0.9134478523615482 
preceding 	 5888.074803668659 0.9134478523615482 
maastricht 	 7121.402128771272 0.9134478523615482 
try 	 3721.77137353236 0.9134478523615482 
intervene 	 6188.426023737586 0.9134478523615482 
proposes 	 4240.873072705292 0.9134478523615482 
osce 	 1880.8899960746655 1.4321495899156875 
correct 	 3721.77137353236 0.9134478523615482 
organ 	 6188.426023737586 0.9134478523615482 
conflicts 	 3668.980293628044 0.9134478523615482 
violently 	 6575.646093257683 0.9134478523615482 
political 	 637.3200154781067 1.2541125136269544 
level 	 1997.6344175404217 0.9134478523615482 
muc 	 8054.378233804959 0.9134478523615482 
including 	 1181.7756259347768 0.9134478523615482 
eastern 	 1511.7374637977725 1.2541125136269544 
neutral 	 7121.402128771272 0.9134478523615482 
ethnic 	 3089.1464885676 0.9134478523615482 
religious 	 3194.082723385832 0.9134478523615482 
economic 	 2012.6736801454979 0.9134478523615482 
outside 	 3194.082723385832 0.9134478523615482 
invasion 	 4022.1225936012866 0.9134478523615482 
currently 	 947.9138910409791 1.4321495899156875 
swiss 	 6188.426023737586 0.9134478523615482 
presidency 	 4502.20706814282 0.9134478523615482 
launching 	 5888.074803668659 0.9134478523615482 
inviting 	 6575.646093257683 0.9134478523615482 
input 	 4826.8111966183515 0.9134478523615482 
suggests 	 4322.473813670213 0.9134478523615482 
encouraging 	 4955.098698634973 0.9134478523615482 
accepted 	 4322.473813670213 0.9134478523615482 
europe's 	 5255.449918703899 0.9134478523615482 
force 	 2960.858986550979 0.9134478523615482 
proposed 	 3268.8797430402074 0.9134478523615482 
arrangement 	 4826.8111966183515 0.9134478523615482 
deterrent 	 6188.426023737586 0.9134478523615482 
shared 	 3432.231456567951 0.9134478523615482 
belgium 	 5255.449918703899 0.9134478523615482 
holland 	 5435.183173176507 0.9134478523615482 
spain 	 4322.473813670213 0.9134478523615482 
greece 	 4163.937847676721 0.9134478523615482 
turkey 	 4826.8111966183515 0.9134478523615482 
