term 	 tf-idf weight 	 BM25 ranking 
 united 	 223.36010734125406 1.7495287648185938 
glastron 	 3877.5907098852995 1.2717307915514249 
bayliner 	 7755.181419770599 0.9322619539254282 
chapparal 	 3877.5907098852995 1.2717307915514249 
larson 	 7755.181419770599 0.9322619539254282 
capable 	 4083.3369258737425 0.9322619539254282 
generating 	 5669.349885256005 0.9322619539254282 
products 	 970.3871981584513 1.4474154790941047 
water 	 1002.401842128859 1.4474154790941047 
jet 	 1269.8267801603474 1.4474154790941047 
ski 	 6856.86267376491 0.9322619539254282 
fast 	 1444.9877068630747 1.4474154790941047 
moving 	 3939.1885027708922 0.9322619539254282 
product 	 669.445922627289 1.6272546222608926 
line 	 2108.886780380888 0.9322619539254282 
uae's 	 3877.5907098852995 1.2717307915514249 
based 	 398.63213302418757 1.5548110435435696 
desire 	 3749.1904002182214 0.9322619539254282 
individual 	 1088.5565294889975 1.2717307915514249 
nationals 	 5958.54392775922 0.9322619539254282 
expatriates 	 6856.86267376491 0.9322619539254282 
accessible 	 5233.281866594913 0.9322619539254282 
hour's 	 7755.181419770599 0.9322619539254282 
drive 	 3939.1885027708922 0.9322619539254282 
majority 	 3223.7076201100404 0.9322619539254282 
residents 	 3872.7123932446266 0.9322619539254282 
local 	 92.19836327573671 1.901032279459089 
production 	 570.1743308425065 1.6272546222608926 
standard 	 1382.6950639771815 1.2717307915514249 
offers 	 2685.1996047357216 0.9322619539254282 
quality 	 564.3493666056529 1.6272546222608926 
price 	 185.9200085451854 1.7495287648185938 
exports 	 929.5018292447821 1.6272546222608926 
manufacture 	 2530.112590876766 1.2717307915514249 
regular 	 3939.1885027708922 0.9322619539254282 
basis 	 2561.6776117093164 0.9322619539254282 
gcc 	 7755.181419770599 0.9322619539254282 
france 	 1695.5830120540643 1.2717307915514249 
maldive 	 3877.5907098852995 1.2717307915514249 
islands 	 2215.5035262502233 1.2717307915514249 
finland 	 3165.689946828364 1.2717307915514249 
lakes 	 5669.349885256005 0.9322619539254282 
inland 	 7755.181419770599 0.9322619539254282 
waterways 	 7755.181419770599 0.9322619539254282 
models 	 1631.7938448710765 1.2717307915514249 
purchased 	 4907.578367542858 0.9322619539254282 
seagoing 	 6856.86267376491 0.9322619539254282 
traditionally 	 5060.225181753532 0.9322619539254282 
low 	 1280.8388058546582 1.2717307915514249 
budget 	 3532.6883064947583 0.9322619539254282 
owners 	 2004.6298107685848 1.2717307915514249 
content 	 2685.1996047357216 0.9322619539254282 
rowboats 	 6856.86267376491 0.9322619539254282 
fitted 	 7755.181419770599 0.9322619539254282 
inboard 	 2110.459964552243 1.4474154790941047 
outboard 	 2110.459964552243 1.4474154790941047 
engine 	 2530.112590876766 1.2717307915514249 
option 	 3483.776841428988 0.9322619539254282 
purchase 	 3939.1885027708922 0.9322619539254282 
inflatable 	 1371.372534752982 1.6272546222608926 
crafts 	 944.8916475426674 1.6794209898650796 
light 	 2609.683099807049 0.9322619539254282 
reliable 	 4245.548359142134 0.9322619539254282 
lightweight 	 7755.181419770599 0.9322619539254282 
easy 	 1791.7591753707054 1.2717307915514249 
transport 	 4245.548359142134 0.9322619539254282 
rough 	 6856.86267376491 0.9322619539254282 
weather 	 3809.4803404810423 0.9322619539254282 
mainly 	 2215.5035262502233 1.2717307915514249 
scuba 	 7755.181419770599 0.9322619539254282 
diving 	 5958.54392775922 0.9322619539254282 
factor 	 952.3700851202606 1.5548110435435696 
cost 	 658.5923901222673 1.5548110435435696 
manufactured 	 1191.7087855518441 1.6272546222608926 
locally 	 1046.6563733189826 1.6272546222608926 
annual 	 952.3700851202606 1.5548110435435696 
imports 	 1358.2652869127598 1.5548110435435696 
grew 	 5060.225181753532 0.9322619539254282 
average 	 787.8377005541784 1.6272546222608926 
rate 	 698.3155424801829 1.5548110435435696 
market's 	 6856.86267376491 0.9322619539254282 
growth 	 795.2262714557241 1.4474154790941047 
expected 	 3263.587689742153 0.9322619539254282 
estimated 	 870.944210357247 1.5548110435435696 
total 	 743.5984118097343 1.5548110435435696 
yachts 	 2110.459964552243 1.4474154790941047 
commercial 	 594.8787294477875 1.6272546222608926 
nearly 	 4534.742401645351 0.9322619539254282 
approximately 	 716.7036701482821 1.6272546222608926 
percent 	 1791.7591753707054 1.2717307915514249 
demand 	 1036.9802918438268 1.4474154790941047 
met 	 2821.7468330282645 0.9322619539254282 
appears 	 4334.963120589224 0.9322619539254282 
prices 	 1194.5061169138035 1.4474154790941047 
joint 	 815.8969224355383 1.5548110435435696 
venture 	 1590.3437130834386 1.4474154790941047 
british 	 3185.0181798680537 0.9322619539254282 
company 	 481.283051350432 1.6272546222608926 
japanese 	 3691.580915926421 0.9322619539254282 
firm 	 1766.3441532473792 1.2717307915514249 
yamaha 	 3428.431336882455 1.2717307915514249 
started 	 3939.1885027708922 0.9322619539254282 
agents 	 984.7971256927231 1.5548110435435696 
building 	 1280.8388058546582 1.2717307915514249 
starting 	 3809.4803404810423 0.9322619539254282 
september 	 3075.431804983684 0.9322619539254282 
sources 	 251.34941845774514 1.6794209898650796 
predict 	 4907.578367542858 0.9322619539254282 
drop 	 4161.906435747842 0.9322619539254282 
future 	 1967.364497994258 0.9322619539254282 
due 	 830.9490927008131 1.4474154790941047 
stiff 	 7755.181419770599 0.9322619539254282 
estimate 	 4907.578367542858 0.9322619539254282 
exported 	 3165.689946828364 1.2717307915514249 
saudi 	 2530.112590876766 1.2717307915514249 
arabia 	 2453.789183771429 1.2717307915514249 
kuwait 	 2979.27196387961 1.2717307915514249 
bahrain 	 3877.5907098852995 1.2717307915514249 
speaks 	 5958.54392775922 0.9322619539254282 
volumes 	 5958.54392775922 0.9322619539254282 
considers 	 3532.6883064947583 0.9322619539254282 
scandinavian 	 6331.379893656728 0.9322619539254282 
buying 	 2267.3712008226753 1.2717307915514249 
comparable 	 4907.578367542858 0.9322619539254282 
europe 	 1329.7676998799363 1.2717307915514249 
cheaper 	 6331.379893656728 0.9322619539254282 
produce 	 3809.4803404810423 0.9322619539254282 
labor 	 2793.2621699207316 0.9322619539254282 
main 	 2325.388874104351 0.9322619539254282 
deterrent 	 5958.54392775922 0.9322619539254282 
increased 	 3147.4503320803187 0.9322619539254282 
custom 	 1687.1393494176102 0.9322619539254282 
duties 	 4161.906435747842 0.9322619539254282 
levied 	 5669.349885256005 0.9322619539254282 
manufacturers 	 1549.1697154079702 1.4474154790941047 
consideration 	 1904.7401702405211 1.2717307915514249 
shipping 	 4334.963120589224 0.9322619539254282 
charges 	 1652.3670013789244 1.2717307915514249 
companies 	 705.4367082570661 1.5548110435435696 
seriously 	 4534.742401645351 0.9322619539254282 
consider 	 1845.7904579632104 1.2717307915514249 
setting 	 3007.205526386577 0.9322619539254282 
ventures 	 4647.509146223911 0.9322619539254282 
plants 	 4534.742401645351 0.9322619539254282 
maintain 	 3263.587689742153 0.9322619539254282 
increase 	 1355.6911567096133 1.2717307915514249 
share 	 637.0036359736107 1.6272546222608926 
factors 	 809.1629639339958 1.4474154790941047 
bearing 	 6856.86267376491 0.9322619539254282 
succeeds 	 6856.86267376491 0.9322619539254282 
service 	 327.894082999043 1.6794209898650796 
commitment 	 3636.4236556396613 0.9322619539254282 
agent 	 353.26883064947583 1.794475206978013 
support 	 899.9530469980851 1.2717307915514249 
quick 	 4161.906435747842 0.9322619539254282 
response 	 2821.7468330282645 0.9322619539254282 
suppliers 	 1417.3374713140013 1.5548110435435696 
essential 	 3185.0181798680537 0.9322619539254282 
success 	 1592.5090899340269 1.2717307915514249 
rental 	 5958.54392775922 0.9322619539254282 
operating 	 3391.1660241081286 0.9322619539254282 
hire 	 4907.578367542858 0.9322619539254282 
skis 	 3428.431336882455 1.2717307915514249 
coming 	 3939.1885027708922 0.9322619539254282 
exporters 	 5958.54392775922 0.9322619539254282 
advised 	 2979.27196387961 1.2717307915514249 
ignore 	 6331.379893656728 0.9322619539254282 
competitors 	 1582.844973414182 1.5548110435435696 
appeared 	 4161.906435747842 0.9322619539254282 
scene 	 3749.1904002182214 0.9322619539254282 
period 	 2492.8472781024393 0.9322619539254282 
major 	 578.6836048277933 1.4474154790941047 
stood 	 5669.349885256005 0.9322619539254282 
follows 	 2004.6298107685848 1.2717307915514249 
italy 	 1673.6148065682225 1.2717307915514249 
pakistan 	 3165.689946828364 1.2717307915514249 
taiwan 	 4771.031139250315 0.9322619539254282 
japan 	 1652.3670013789244 1.2717307915514249 
domestic 	 940.5822776760881 1.4474154790941047 
industry 	 681.357758438709 1.4474154790941047 
medium 	 4009.2596215371696 0.9322619539254282 
sized 	 5958.54392775922 0.9322619539254282 
directs 	 5433.061147651039 0.9322619539254282 
output 	 4431.007052500447 0.9322619539254282 
oman 	 7755.181419770599 0.9322619539254282 
qater 	 7755.181419770599 0.9322619539254282 
percentage 	 4245.548359142134 0.9322619539254282 
currently 	 2738.104909633972 0.9322619539254282 
boatbuilders 	 7755.181419770599 0.9322619539254282 
entire 	 3483.776841428988 0.9322619539254282 
shipyards 	 6856.86267376491 0.9322619539254282 
handicapped 	 4771.031139250315 0.9322619539254282 
lack 	 1410.8734165141323 1.2717307915514249 
national 	 1477.1149557202643 0.9322619539254282 
motor 	 3872.7123932446266 0.9322619539254282 
manufacturer 	 1161.8772865559777 1.5548110435435696 
affects 	 3436.6443745835345 0.9322619539254282 
competitiveness 	 1986.1813092530736 1.4474154790941047 
example 	 2286.6994338623645 0.9322619539254282 
motors 	 1686.741727251177 1.4474154790941047 
sold 	 4083.3369258737425 0.9322619539254282 
imported 	 2979.27196387961 1.2717307915514249 
scat 	 7755.181419770599 0.9322619539254282 
hovercraft 	 7755.181419770599 0.9322619539254282 
sunfish 	 7755.181419770599 0.9322619539254282 
laser 	 4907.578367542858 0.9322619539254282 
wildcat 	 6856.86267376491 0.9322619539254282 
watercraft 	 7755.181419770599 0.9322619539254282 
performance 	 2911.161594475354 0.9322619539254282 
catamarans 	 7755.181419770599 0.9322619539254282 
presence 	 3809.4803404810423 0.9322619539254282 
kawasaki 	 6856.86267376491 0.9322619539254282 
bombardier 	 7755.181419770599 0.9322619539254282 
seadoo 	 7755.181419770599 0.9322619539254282 
canada 	 3391.1660241081286 0.9322619539254282 
carry 	 1874.5952001091107 1.2717307915514249 
limited 	 2738.104909633972 0.9322619539254282 
volume 	 4245.548359142134 0.9322619539254282 
stock 	 3483.776841428988 0.9322619539254282 
act 	 1182.6344718682321 1.2717307915514249 
usually 	 466.22681282030754 1.7187784391993488 
receive 	 2942.392021321816 0.9322619539254282 
customer 	 4431.007052500447 0.9322619539254282 
showrooms 	 7755.181419770599 0.9322619539254282 
display 	 2453.789183771429 1.2717307915514249 
kinds 	 5233.281866594913 0.9322619539254282 
advantage 	 3347.229613136445 0.9322619539254282 
enjoy 	 4334.963120589224 0.9322619539254282 
reputation 	 4907.578367542858 0.9322619539254282 
eroded 	 7755.181419770599 0.9322619539254282 
enthusiasts 	 5958.54392775922 0.9322619539254282 
appear 	 3691.580915926421 0.9322619539254282 
knowledgeable 	 6331.379893656728 0.9322619539254282 
reading 	 3691.580915926421 0.9322619539254282 
tests 	 3872.7123932446266 0.9322619539254282 
magazines 	 5433.061147651039 0.9322619539254282 
boating 	 6331.379893656728 0.9322619539254282 
magazine 	 4009.2596215371696 0.9322619539254282 
offing 	 5958.54392775922 0.9322619539254282 
marine 	 4771.031139250315 0.9322619539254282 
engines 	 4907.578367542858 0.9322619539254282 
distributors 	 1371.372534752982 1.6272546222608926 
provide 	 2194.745984042284 0.9322619539254282 
workshop 	 4771.031139250315 0.9322619539254282 
offer 	 1573.7251660401594 1.2717307915514249 
month 	 3147.4503320803187 0.9322619539254282 
guarantee 	 2167.481560294612 1.2717307915514249 
hull 	 5233.281866594913 0.9322619539254282 
effective 	 2711.3823134192266 0.9322619539254282 
organized 	 3583.518350741411 0.9322619539254282 
considered 	 2685.1996047357216 0.9322619539254282 
particularly 	 2305.899785039907 0.9322619539254282 
lower 	 2911.161594475354 0.9322619539254282 
upper 	 3691.580915926421 0.9322619539254282 
range 	 1471.196010660908 1.2717307915514249 
top 	 1210.5680343751987 0.9322619539254282 
purchasers 	 6331.379893656728 0.9322619539254282 
concerned 	 3110.9408755314803 0.9322619539254282 
discretionary 	 6331.379893656728 0.9322619539254282 
income 	 3110.9408755314803 0.9322619539254282 
expenditures 	 3872.7123932446266 0.9322619539254282 
durability 	 6856.86267376491 0.9322619539254282 
safety 	 1471.196010660908 1.2717307915514249 
style 	 3185.0181798680537 0.9322619539254282 
design 	 2427.4888918019874 0.9322619539254282 
speed 	 4083.3369258737425 0.9322619539254282 
capacity 	 3583.518350741411 0.9322619539254282 
sell 	 1845.7904579632104 1.2717307915514249 
resale 	 6856.86267376491 0.9322619539254282 
value 	 2448.9108671307563 0.9322619539254282 
uncommon 	 7755.181419770599 0.9322619539254282 
repute 	 7755.181419770599 0.9322619539254282 
approached 	 6331.379893656728 0.9322619539254282 
traded 	 6331.379893656728 0.9322619539254282 
faster 	 4647.509146223911 0.9322619539254282 
climate 	 3075.431804983684 0.9322619539254282 
free 	 1640.0068825721564 0.9322619539254282 
impediments 	 6856.86267376491 0.9322619539254282 
regulating 	 4334.963120589224 0.9322619539254282 
english 	 2880.666069831742 0.9322619539254282 
language 	 2793.2621699207316 0.9322619539254282 
alongside 	 5669.349885256005 0.9322619539254282 
arabic 	 3428.431336882455 1.2717307915514249 
takes 	 3223.7076201100404 0.9322619539254282 
precedence 	 7755.181419770599 0.9322619539254282 
official 	 2942.392021321816 0.9322619539254282 
documents 	 3223.7076201100404 0.9322619539254282 
government 	 509.7233819320994 1.4474154790941047 
departments 	 4534.742401645351 0.9322619539254282 
normal 	 3749.1904002182214 0.9322619539254282 
hours 	 1130.3886747027095 1.4474154790941047 
thursday 	 2716.5305738255197 1.2717307915514249 
close 	 3040.869756765203 0.9322619539254282 
public 	 698.9726534571971 1.2717307915514249 
institutions 	 2880.666069831742 0.9322619539254282 
municipal 	 4771.031139250315 0.9322619539254282 
offices 	 1520.4348783826015 1.2717307915514249 
banks 	 4161.906435747842 0.9322619539254282 
private 	 830.9490927008131 1.4474154790941047 
sector 	 2004.6298107685848 1.2717307915514249 
resumes 	 6856.86267376491 0.9322619539254282 
afternoon 	 5433.061147651039 0.9322619539254282 
session 	 4009.2596215371696 0.9322619539254282 
day 	 899.9530469980851 1.2717307915514249 
week 	 3007.205526386577 0.9322619539254282 
weekends 	 6331.379893656728 0.9322619539254282 
friday 	 1744.427288864971 1.4474154790941047 
saturday 	 5060.225181753532 0.9322619539254282 
business 	 294.4390388068898 1.5548110435435696 
accomplished 	 5233.281866594913 0.9322619539254282 
morning 	 4771.031139250315 0.9322619539254282 
unusual 	 4771.031139250315 0.9322619539254282 
civil 	 2212.622129525791 0.9322619539254282 
servant 	 5958.54392775922 0.9322619539254282 
operate 	 3939.1885027708922 0.9322619539254282 
evening 	 4907.578367542858 0.9322619539254282 
rest 	 4009.2596215371696 0.9322619539254282 
enter 	 3872.7123932446266 0.9322619539254282 
appoint 	 5669.349885256005 0.9322619539254282 
distributor 	 3428.431336882455 1.2717307915514249 
representation 	 4245.548359142134 0.9322619539254282 
legal 	 2212.622129525791 0.9322619539254282 
condition 	 3075.431804983684 0.9322619539254282 
doing 	 3223.7076201100404 0.9322619539254282 
care 	 2561.6776117093164 0.9322619539254282 
selection 	 1969.5942513854461 1.2717307915514249 
federal 	 1152.9498925199534 1.2717307915514249 
agency 	 684.526227408493 1.5548110435435696 
applicable 	 4771.031139250315 0.9322619539254282 
reviewed 	 4083.3369258737425 0.9322619539254282 
carefully 	 4647.509146223911 0.9322619539254282 
prior 	 3040.869756765203 0.9322619539254282 
appointing 	 5958.54392775922 0.9322619539254282 
favors 	 5669.349885256005 0.9322619539254282 
traders 	 5669.349885256005 0.9322619539254282 
cancellation 	 5433.061147651039 0.9322619539254282 
contracts 	 3939.1885027708922 0.9322619539254282 
difficult 	 3223.7076201100404 0.9322619539254282 
costly 	 5060.225181753532 0.9322619539254282 
regardless 	 4009.2596215371696 0.9322619539254282 
severance 	 7755.181419770599 0.9322619539254282 
clauses 	 5669.349885256005 0.9322619539254282 
included 	 2974.3936472389373 0.9322619539254282 
frequent 	 4907.578367542858 0.9322619539254282 
visits 	 4907.578367542858 0.9322619539254282 
strong 	 3147.4503320803187 0.9322619539254282 
sale 	 3939.1885027708922 0.9322619539254282 
basic 	 2685.1996047357216 0.9322619539254282 
ingredients 	 5958.54392775922 0.9322619539254282 
fcs 	 7755.181419770599 0.9322619539254282 
assist 	 3872.7123932446266 0.9322619539254282 
identifying 	 5060.225181753532 0.9322619539254282 
reputable 	 7755.181419770599 0.9322619539254282 
representatives 	 3391.1660241081286 0.9322619539254282 
lost 	 3391.1660241081286 0.9322619539254282 
partly 	 5233.281866594913 0.9322619539254282 
loyalty 	 5233.281866594913 0.9322619539254282 
bear 	 5060.225181753532 0.9322619539254282 
mind 	 2515.386976657022 0.9322619539254282 
spend 	 4334.963120589224 0.9322619539254282 
lot 	 4334.963120589224 0.9322619539254282 
money 	 2448.9108671307563 0.9322619539254282 
promoting 	 4431.007052500447 0.9322619539254282 
gains 	 4009.2596215371696 0.9322619539254282 
popularity 	 4907.578367542858 0.9322619539254282 
agreement 	 2685.1996047357216 0.9322619539254282 
signed 	 2821.7468330282645 0.9322619539254282 
inquiry 	 4161.906435747842 0.9322619539254282 
received 	 2609.683099807049 0.9322619539254282 
directly 	 1555.4704377657401 1.2717307915514249 
routed 	 6856.86267376491 0.9322619539254282 
duty 	 3483.776841428988 0.9322619539254282 
import 	 1387.3021452492808 1.4474154790941047 
usual 	 5060.225181753532 0.9322619539254282 
presently 	 5060.225181753532 0.9322619539254282 
required 	 2685.1996047357216 0.9322619539254282 
registered 	 1904.7401702405211 1.2717307915514249 
shortly 	 5669.349885256005 0.9322619539254282 
ministry 	 3749.1904002182214 0.9322619539254282 
enforcing 	 5958.54392775922 0.9322619539254282 
expect 	 5233.281866594913 0.9322619539254282 
effect 	 2044.073275316127 0.9322619539254282 
retailed 	 6856.86267376491 0.9322619539254282 
full 	 2230.748299125054 0.9322619539254282 
spectrum 	 4907.578367542858 0.9322619539254282 
lines 	 3147.4503320803187 0.9322619539254282 
importers 	 6331.379893656728 0.9322619539254282 
tend 	 4647.509146223911 0.9322619539254282 
represent 	 3691.580915926421 0.9322619539254282 
frequently 	 3347.229613136445 0.9322619539254282 
specializing 	 6331.379893656728 0.9322619539254282 
specific 	 698.9726534571971 1.2717307915514249 
segment 	 4771.031139250315 0.9322619539254282 
ability 	 2765.390127954363 0.9322619539254282 
meet 	 2685.1996047357216 0.9322619539254282 
client 	 4083.3369258737425 0.9322619539254282 
optional 	 4161.906435747842 0.9322619539254282 
equipment 	 3223.7076201100404 0.9322619539254282 
timely 	 5433.061147651039 0.9322619539254282 
delivery 	 4334.963120589224 0.9322619539254282 
selling 	 3636.4236556396613 0.9322619539254282 
standards 	 1396.6310849603658 1.2717307915514249 
set 	 961.7140435112877 1.2717307915514249 
trend 	 3872.7123932446266 0.9322619539254282 
coastguard 	 7755.181419770599 0.9322619539254282 
marinas 	 3165.689946828364 1.2717307915514249 
run 	 2974.3936472389373 0.9322619539254282 
star 	 4431.007052500447 0.9322619539254282 
