term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 1164.9579668176796 1.1308671458294086 
eminently 	 15612.08975631288 0.6050223467562018 
noted 	 5923.3802342813415 0.6050223467562018 
lacretelle's 	 15612.08975631288 0.6050223467562018 
silberman 	 13803.668762231982 0.6050223467562018 
sartre's 	 2300.611460371997 1.4447973588861136 
semite 	 13803.668762231982 0.6050223467562018 
jew 	 13803.668762231982 0.6050223467562018 
portrait 	 9128.968307015988 0.6050223467562018 
artist 	 2973.3789608985767 1.1308671458294086 
dedalus' 	 15612.08975631288 0.6050223467562018 
disillusionment 	 9604.645248691415 0.6050223467562018 
rejection 	 11413.066242772313 0.6050223467562018 
catholic 	 10186.826774070189 0.6050223467562018 
church 	 3459.184094632886 0.9290090697449582 
courtly 	 6901.834381115991 0.9290090697449582 
love 	 962.6236839366165 1.504460237255773 
rituals 	 11413.066242772313 0.6050223467562018 
courtship 	 13803.668762231982 0.6050223467562018 
nobility 	 11413.066242772313 0.6050223467562018 
feudal 	 13803.668762231982 0.6050223467562018 
society 	 495.0669343428838 1.5525444567396884 
comparison 	 303.2454591056954 1.7171948150667173 
ibsen's 	 13803.668762231982 0.6050223467562018 
hedda 	 13803.668762231982 0.6050223467562018 
gabler 	 13803.668762231982 0.6050223467562018 
huxley's 	 12745.810295177782 0.6050223467562018 
brave 	 12745.810295177782 0.6050223467562018 
common 	 936.256106873187 1.3688011571264773 
deal 	 2899.5593272341875 0.9290090697449582 
relationship 	 960.8143259526045 1.2687008440378114 
individual 	 2191.391964071601 0.9290090697449582 
social 	 334.85364819604655 1.6252679731255357 
character 	 584.4376144089654 1.6776572998224704 
ariel 	 15612.08975631288 0.6050223467562018 
shakespeare's 	 5468.694650548442 0.9290090697449582 
tempest 	 6372.905147588891 0.9290090697449582 
cortazar's 	 15612.08975631288 0.6050223467562018 
game 	 8378.40577998929 0.6050223467562018 
able 	 5353.956680535113 0.6050223467562018 
change 	 4179.3822664487225 0.6050223467562018 
real 	 5204.830378826688 0.6050223467562018 
fantasy 	 5706.533121386156 0.9290090697449582 
justice 	 1855.6848878171122 1.1308671458294086 
vengeance 	 6372.905147588891 0.9290090697449582 
testament 	 11995.247768151086 0.6050223467562018 
dante's 	 2282.613248554462 1.3688011571264773 
inferno 	 11995.247768151086 0.6050223467562018 
attempt 	 5405.621735150847 0.6050223467562018 
parallels 	 11413.066242772313 0.6050223467562018 
themes 	 915.0684141168863 1.5525444567396884 
times 	 2122.718213739867 0.9290090697449582 
human 	 502.6515785162056 1.5525444567396884 
voltaire's 	 3186.4525737944455 1.2687008440378114 
relation 	 2626.799076927697 0.9290090697449582 
billy 	 5706.533121386156 0.9290090697449582 
budd 	 6901.834381115991 0.9290090697449582 
voltaire 	 2998.8119420377716 1.2687008440378114 
ideas 	 1325.823723633484 1.2687008440378114 
critical 	 851.6578658641458 1.4447973588861136 
development 	 379.4968939561673 1.5525444567396884 
major 	 873.7184751132596 1.2687008440378114 
melville's 	 13803.668762231982 0.6050223467562018 
enlightenment 	 5093.413387035094 0.9290090697449582 
ideals 	 2792.8019266630968 1.1308671458294086 
perfection 	 10937.389301096884 0.6050223467562018 
naivete 	 13803.668762231982 0.6050223467562018 
beowulf 	 5997.623884075543 0.9290090697449582 
sound 	 6918.368189265772 0.6050223467562018 
waves 	 10186.826774070189 0.6050223467562018 
review 	 352.00818260217596 1.6252679731255357 
epic 	 2853.266560693078 1.2687008440378114 
poem 	 10186.826774070189 0.6050223467562018 
mishima's 	 13803.668762231982 0.6050223467562018 
book 	 702.0333848710701 1.4447973588861136 
physical 	 1643.314931158473 1.1308671458294086 
strength 	 4189.202889994645 0.9290090697449582 
digenis 	 15612.08975631288 0.6050223467562018 
akritas 	 15612.08975631288 0.6050223467562018 
discussion 	 553.1551894887456 1.504460237255773 
byzantine 	 13803.668762231982 0.6050223467562018 
characterizing 	 11995.247768151086 0.6050223467562018 
culture 	 1021.989439036975 1.3688011571264773 
beliefs 	 7320.54731293509 0.6050223467562018 
attitudes 	 3205.9075737946578 0.9290090697449582 
prevalent 	 9604.645248691415 0.6050223467562018 
time 	 355.382459914288 1.504460237255773 
thomas 	 1886.8899988752585 1.2687008440378114 
mann's 	 3903.02243907822 1.2687008440378114 
death 	 295.06958557219764 1.7480929239821763 
venice 	 3186.4525737944455 1.2687008440378114 
examined 	 2189.9949286361307 1.1308671458294086 
masterful 	 13803.668762231982 0.6050223467562018 
example 	 4603.394153508417 0.6050223467562018 
modern 	 626.111989734743 1.504460237255773 
german 	 3131.3444229404445 0.9290090697449582 
novella 	 6901.834381115991 0.9290090697449582 
short 	 1031.3914952082725 1.3688011571264773 
story 	 665.31147339218 1.5921224578117497 
reflection 	 2740.0787138900705 1.1308671458294086 
conflict 	 1819.4435328474183 1.1308671458294086 
beauty 	 4939.765417021342 0.9290090697449582 
ordinary 	 10937.389301096884 0.6050223467562018 
normal 	 7547.559995501034 0.6050223467562018 
life 	 215.50412222754403 1.7335365862286172 
moliere's 	 13803.668762231982 0.6050223467562018 
tartuffe 	 6372.905147588891 0.9290090697449582 
richly 	 15612.08975631288 0.6050223467562018 
humorous 	 11995.247768151086 0.6050223467562018 
scathing 	 13803.668762231982 0.6050223467562018 
attack 	 7668.930716292469 0.6050223467562018 
religious 	 1547.8012305560246 1.2687008440378114 
hypocrites 	 15612.08975631288 0.6050223467562018 
assault 	 8546.786781637213 0.6050223467562018 
set 	 3872.0863264212185 0.6050223467562018 
monkey 	 13803.668762231982 0.6050223467562018 
ch'eng 	 15612.08975631288 0.6050223467562018 
folk 	 10937.389301096884 0.6050223467562018 
novel 	 410.327592347922 1.7835633633307955 
translated 	 11995.247768151086 0.6050223467562018 
arthur 	 9879.530834042684 0.6050223467562018 
waley 	 15612.08975631288 0.6050223467562018 
morality 	 2556.310238764156 1.1308671458294086 
hamlet 	 11995.247768151086 0.6050223467562018 
antigone 	 3186.4525737944455 1.2687008440378114 
oedipus 	 1902.1777071287186 1.4447973588861136 
comparable 	 9879.530834042684 0.6050223467562018 
tragic 	 2908.9297277822234 1.1308671458294086 
figures 	 3413.4074679390847 0.9290090697449582 
king 	 6826.814935878169 0.6050223467562018 
kingship 	 13803.668762231982 0.6050223467562018 
imposter 	 13803.668762231982 0.6050223467562018 
moliere 	 6372.905147588891 0.9290090697449582 
analysis 	 200.6233092322734 1.7480929239821763 
comedy 	 10535.210177427567 0.6050223467562018 
candide 	 3450.9171905579956 1.2687008440378114 
discusses 	 234.672121734784 1.7335365862286172 
evil 	 2181.6972958366678 1.2687008440378114 
contends 	 7547.559995501034 0.6050223467562018 
optimism 	 10186.826774070189 0.6050223467562018 
ultimate 	 7431.585346953728 0.6050223467562018 
phaedra 	 13803.668762231982 0.6050223467562018 
ancient 	 975.2592765540243 1.504460237255773 
myth 	 1321.6747432779393 1.4447973588861136 
jean 	 4677.990494790965 0.9290090697449582 
racin 	 15612.08975631288 0.6050223467562018 
tragedy 	 4460.068441347865 0.9290090697449582 
permeated 	 15612.08975631288 0.6050223467562018 
adapted 	 12745.810295177782 0.6050223467562018 
anouilh 	 12745.810295177782 0.6050223467562018 
cocteau 	 13803.668762231982 0.6050223467562018 
similarities 	 3506.6256864537922 0.9290090697449582 
differences 	 1734.9434596088959 1.1308671458294086 
versions 	 3293.1769446808944 1.1308671458294086 
forest 	 8546.786781637213 0.6050223467562018 
symbolism 	 4802.3226243457075 0.9290090697449582 
heart 	 7547.559995501034 0.6050223467562018 
darkness 	 3511.736725809189 1.1308671458294086 
siddhartha 	 2399.049553630217 1.3688011571264773 
conrad 	 2734.347325274221 1.2687008440378114 
hess 	 12745.810295177782 0.6050223467562018 
respectively 	 3607.0213646158722 0.9290090697449582 
exploration 	 8220.236141670212 0.6050223467562018 
protaganists 	 12745.810295177782 0.6050223467562018 
havinf 	 13803.668762231982 0.6050223467562018 
occasion 	 11413.066242772313 0.6050223467562018 
wander 	 13803.668762231982 0.6050223467562018 
amid 	 10937.389301096884 0.6050223467562018 
wild 	 10186.826774070189 0.6050223467562018 
vegetation 	 10535.210177427567 0.6050223467562018 
grasp 	 10535.210177427567 0.6050223467562018 
significance 	 6262.688845880889 0.6050223467562018 
forests 	 10535.210177427567 0.6050223467562018 
trees 	 8546.786781637213 0.6050223467562018 
exit 	 5706.533121386156 0.9290090697449582 
sartre 	 3186.4525737944455 1.2687008440378114 
pessimistic 	 6901.834381115991 0.9290090697449582 
play 	 1622.4253821117081 1.2687008440378114 
topics 	 7796.224254610517 0.6050223467562018 
century 	 650.603797353336 1.5525444567396884 
russian 	 892.3261134225189 1.4447973588861136 
investigation 	 2651.647447266968 0.9290090697449582 
eugeny 	 15612.08975631288 0.6050223467562018 
onegism 	 15612.08975631288 0.6050223467562018 
pushkin 	 5204.02991877096 1.1308671458294086 
turgenev' 	 15612.08975631288 0.6050223467562018 
father 	 1614.2219679923571 1.3688011571264773 
sons 	 10937.389301096884 0.6050223467562018 
dostoyevsky's 	 2760.7337524463965 1.3688011571264773 
crime 	 1267.2373327773998 1.3688011571264773 
punishment 	 1745.357836669334 1.3688011571264773 
soncharov's 	 15612.08975631288 0.6050223467562018 
glomov 	 15612.08975631288 0.6050223467562018 
dostoyevsky 	 2124.3017158629636 1.4447973588861136 
depicts 	 8546.786781637213 0.6050223467562018 
role 	 488.6684753145381 1.504460237255773 
influences 	 3060.8137327933696 0.9290090697449582 
sonia 	 15612.08975631288 0.6050223467562018 
raskonidov 	 15612.08975631288 0.6050223467562018 
mann 	 3293.1769446808944 1.1308671458294086 
losing 	 8378.40577998929 0.6050223467562018 
youthful 	 12745.810295177782 0.6050223467562018 
middle 	 3060.8137327933696 0.9290090697449582 
age 	 1687.922999510846 1.1308671458294086 
honore 	 7806.04487815644 0.9290090697449582 
balzac 	 3122.417951262576 1.3688011571264773 
parish 	 11995.247768151086 0.6050223467562018 
sign 	 7013.2513729075845 0.6050223467562018 
cat 	 11995.247768151086 0.6050223467562018 
louis 	 9604.645248691415 0.6050223467562018 
lambert 	 13803.668762231982 0.6050223467562018 
bygones 	 7806.04487815644 0.9290090697449582 
selected 	 2275.6049786260564 1.1308671458294086 
prose 	 10535.210177427567 0.6050223467562018 
fiction 	 2401.1613121728537 1.2687008440378114 
metamorphosis 	 1820.8300421682545 1.504460237255773 
kafka 	 1215.265477899654 1.5921224578117497 
nedezhda 	 15612.08975631288 0.6050223467562018 
wendelstam 	 15612.08975631288 0.6050223467562018 
alexander 	 4363.3945916733355 0.9290090697449582 
solqhenitzyn 	 15612.08975631288 0.6050223467562018 
views 	 1160.5116780804624 1.2687008440378114 
breakdown 	 9128.968307015988 0.6050223467562018 
soviet 	 1995.9344201765398 1.1308671458294086 
legality 	 11413.066242772313 0.6050223467562018 
protests 	 9879.530834042684 0.6050223467562018 
russia's 	 8071.109839961786 0.6050223467562018 
rule 	 5458.330598542255 0.6050223467562018 
stalin 	 10535.210177427567 0.6050223467562018 
france 	 2275.6049786260564 1.1308671458294086 
america 	 5109.947195184875 0.6050223467562018 
literary 	 632.3258570515546 1.6987176550442473 
exchange 	 6191.2049222240985 0.6050223467562018 
movement 	 1449.2544226988819 1.1308671458294086 
romantic 	 3118.6603298606437 1.1308671458294086 
realistic 	 2469.882708510671 1.2687008440378114 
revolution 	 2993.9016302648097 0.9290090697449582 
marking 	 11995.247768151086 0.6050223467562018 
similar 	 5156.9574760413625 0.6050223467562018 
pre 	 1480.8450585703354 1.2687008440378114 
post 	 2578.4787380206812 0.9290090697449582 
civil 	 4454.267851799992 0.6050223467562018 
war 	 718.8677452509737 1.4447973588861136 
collective 	 7796.224254610517 0.6050223467562018 
focuses 	 1301.207594706672 1.2687008440378114 
idiot 	 15612.08975631288 0.6050223467562018 
possessed 	 3998.4159227170285 1.1308671458294086 
brothers 	 5468.694650548442 0.9290090697449582 
karamozov 	 15612.08975631288 0.6050223467562018 
par 	 7930.048459667637 0.6050223467562018 
lagerkvist 	 15612.08975631288 0.6050223467562018 
barabbas 	 7806.04487815644 0.9290090697449582 
includes 	 892.8100819685084 1.2687008440378114 
sketch 	 4363.3945916733355 0.9290090697449582 
author 	 3369.182893778158 0.9290090697449582 
personal 	 1243.674982042356 1.1308671458294086 
award 	 7930.048459667637 0.6050223467562018 
winning 	 8220.236141670212 0.6050223467562018 
summary 	 1784.6522268450378 1.1308671458294086 
secondary 	 8920.13688269573 0.6050223467562018 
criticism 	 1949.0560636526293 1.2687008440378114 
outline 	 7320.54731293509 0.6050223467562018 
don 	 566.4320328334027 1.7171948150667173 
quixote 	 1274.581029517778 1.6252679731255357 
gargantua 	 6901.834381115991 0.9290090697449582 
trial 	 1642.4961964770982 1.2687008440378114 
consideration 	 2556.310238764156 1.1308671458294086 
creation 	 3026.928710780316 0.9290090697449582 
interpersonal 	 11995.247768151086 0.6050223467562018 
relationships 	 6738.365787556316 0.6050223467562018 
kafka's 	 1416.2011439086425 1.5921224578117497 
hunger 	 5093.413387035094 0.9290090697449582 
penal 	 9604.645248691415 0.6050223467562018 
colony 	 11413.066242772313 0.6050223467562018 
self 	 944.2226738310325 1.3688011571264773 
destruction 	 8220.236141670212 0.6050223467562018 
oblomov 	 15612.08975631288 0.6050223467562018 
goncharov 	 15612.08975631288 0.6050223467562018 
spring 	 8378.40577998929 0.6050223467562018 
october 	 5623.16435287283 0.6050223467562018 
polish 	 8546.786781637213 0.6050223467562018 
expression 	 3555.857944307417 0.9290090697449582 
uprising 	 11413.066242772313 0.6050223467562018 
women 	 2676.9783402675566 0.9290090697449582 
hermann 	 4248.603431725927 1.1308671458294086 
hesse 	 3186.4525737944455 1.2687008440378114 
goldmund 	 13803.668762231982 0.6050223467562018 
narcissus 	 13803.668762231982 0.6050223467562018 
beneath 	 11413.066242772313 0.6050223467562018 
wheel 	 11995.247768151086 0.6050223467562018 
traces 	 2993.9016302648097 0.9290090697449582 
feminine 	 11413.066242772313 0.6050223467562018 
greek 	 610.0037276667413 1.6987176550442473 
seeking 	 6826.814935878169 0.6050223467562018 
characterize 	 10937.389301096884 0.6050223467562018 
fulfills 	 7806.04487815644 0.9290090697449582 
duties 	 8378.40577998929 0.6050223467562018 
god 	 2643.3494865558787 1.1308671458294086 
priam 	 15612.08975631288 0.6050223467562018 
nestor 	 15612.08975631288 0.6050223467562018 
discussed 	 5156.9574760413625 0.6050223467562018 
relevant 	 7547.559995501034 0.6050223467562018 
vergil's 	 13803.668762231982 0.6050223467562018 
motivation 	 8378.40577998929 0.6050223467562018 
writing 	 1113.4109326902674 1.3688011571264773 
aeneid 	 11413.066242772313 0.6050223467562018 
debate 	 7547.559995501034 0.6050223467562018 
immortalize 	 15612.08975631288 0.6050223467562018 
roman 	 3413.4074679390847 0.9290090697449582 
empire 	 8546.786781637213 0.6050223467562018 
effort 	 6826.814935878169 0.6050223467562018 
speak 	 9355.98098958193 0.6050223467562018 
ills 	 13803.668762231982 0.6050223467562018 
meurault 	 15612.08975631288 0.6050223467562018 
camus' 	 3186.4525737944455 1.2687008440378114 
stranger 	 2300.611460371997 1.4447973588861136 
delineated 	 13803.668762231982 0.6050223467562018 
sartrean 	 15612.08975631288 0.6050223467562018 
derived 	 8920.13688269573 0.6050223467562018 
explication 	 13803.668762231982 0.6050223467562018 
meursault 	 15612.08975631288 0.6050223467562018 
protagonist 	 12745.810295177782 0.6050223467562018 
comparision 	 11995.247768151086 0.6050223467562018 
secret 	 7214.0427292317445 0.6050223467562018 
agent 	 7111.715888614834 0.6050223467562018 
anglo 	 10937.389301096884 0.6050223467562018 
saxon 	 13803.668762231982 0.6050223467562018 
novelists 	 2282.613248554462 1.3688011571264773 
writers 	 3773.779997750517 0.9290090697449582 
contain 	 9604.645248691415 0.6050223467562018 
overtones 	 5997.623884075543 0.9290090697449582 
focusing 	 2651.647447266968 0.9290090697449582 
andre 	 12745.810295177782 0.6050223467562018 
malraux 	 15612.08975631288 0.6050223467562018 
celine 	 15612.08975631288 0.6050223467562018 
camus 	 2853.266560693078 1.2687008440378114 
turgenev 	 15612.08975631288 0.6050223467562018 
brief 	 2531.8844992662694 0.9290090697449582 
albert 	 4363.3945916733355 0.9290090697449582 
playwright 	 11413.066242772313 0.6050223467562018 
novelist 	 6372.905147588891 0.9290090697449582 
essayist 	 13803.668762231982 0.6050223467562018 
keen 	 12745.810295177782 0.6050223467562018 
sense 	 1565.6722114702222 1.2687008440378114 
absurdity 	 6372.905147588891 0.9290090697449582 
existence 	 3898.1121273052586 0.9290090697449582 
sisyphus 	 13803.668762231982 0.6050223467562018 
thinking 	 8546.786781637213 0.6050223467562018 
evidencing 	 15612.08975631288 0.6050223467562018 
powerful 	 7796.224254610517 0.6050223467562018 
regard 	 6121.627465586739 0.6050223467562018 
rebel 	 10535.210177427567 0.6050223467562018 
plague 	 5093.413387035094 0.9290090697449582 
quixote's 	 4248.603431725927 1.1308671458294086 
discourse 	 5997.623884075543 0.9290090697449582 
arms 	 2973.3789608985767 1.1308671458294086 
letters 	 4460.068441347865 0.9290090697449582 
cervante's 	 15612.08975631288 0.6050223467562018 
logically 	 13803.668762231982 0.6050223467562018 
argues 	 3898.1121273052586 0.9290090697449582 
profession 	 7320.54731293509 0.6050223467562018 
knight 	 11995.247768151086 0.6050223467562018 
errantly 	 15612.08975631288 0.6050223467562018 
bearing 	 13803.668762231982 0.6050223467562018 
superior 	 5706.533121386156 0.9290090697449582 
discipline 	 4110.118070835106 0.9290090697449582 
plato's 	 5267.6050887137835 0.9290090697449582 
allegory 	 5997.623884075543 0.9290090697449582 
cave 	 7806.04487815644 0.9290090697449582 
knowledge 	 2840.2536602510577 0.9290090697449582 
attained 	 12745.810295177782 0.6050223467562018 
perception 	 7111.715888614834 0.6050223467562018 
intellect 	 11995.247768151086 0.6050223467562018 
chained 	 15612.08975631288 0.6050223467562018 
compares 	 1420.1268301255288 1.2687008440378114 
sophocles' 	 11995.247768151086 0.6050223467562018 
miller's 	 12745.810295177782 0.6050223467562018 
willy 	 11995.247768151086 0.6050223467562018 
loman 	 12745.810295177782 0.6050223467562018 
figure 	 2440.18243764503 1.1308671458294086 
madame 	 2187.4778602193765 1.3688011571264773 
bovary 	 2998.8119420377716 1.2687008440378114 
flaubert 	 3122.417951262576 1.3688011571264773 
intentional 	 10937.389301096884 0.6050223467562018 
triteness 	 15612.08975631288 0.6050223467562018 
satirizes 	 15612.08975631288 0.6050223467562018 
boredom 	 7806.04487815644 0.9290090697449582 
day 	 603.9036778852891 1.4447973588861136 
living 	 5739.139001420136 0.6050223467562018 
reproduced 	 13803.668762231982 0.6050223467562018 
repetitious 	 6901.834381115991 0.9290090697449582 
detail 	 7930.048459667637 0.6050223467562018 
leading 	 2010.6063140648223 0.9290090697449582 
motivations 	 4677.990494790965 0.9290090697449582 
consequences 	 6411.8151475893155 0.6050223467562018 
character's 	 5997.623884075543 0.9290090697449582 
actions 	 2811.582176436415 0.9290090697449582 
notes 	 1534.464717836139 1.1308671458294086 
underground 	 2282.242076753997 1.2687008440378114 
split 	 8726.789183346671 0.6050223467562018 
conscious 	 11995.247768151086 0.6050223467562018 
emotional 	 6569.984785908393 0.6050223467562018 
chrestien 	 15612.08975631288 0.6050223467562018 
troyes 	 6901.834381115991 0.9290090697449582 
guillaume 	 12745.810295177782 0.6050223467562018 
lorris 	 15612.08975631288 0.6050223467562018 
examination 	 997.6744150968696 1.2687008440378114 
romance 	 3804.355414257437 1.1308671458294086 
draws 	 9128.968307015988 0.6050223467562018 
correlations 	 11413.066242772313 0.6050223467562018 
author's 	 2973.3789608985767 1.1308671458294086 
experiences 	 6569.984785908393 0.6050223467562018 
subsequent 	 6826.814935878169 0.6050223467562018 
structure 	 1521.76862860621 1.1308671458294086 
pere 	 6372.905147588891 0.9290090697449582 
goriot 	 6901.834381115991 0.9290090697449582 
recurrent 	 13803.668762231982 0.6050223467562018 
paternity 	 13803.668762231982 0.6050223467562018 
function 	 5567.054663451337 0.6050223467562018 
mirror 	 10186.826774070189 0.6050223467562018 
projects 	 7013.2513729075845 0.6050223467562018 
feelings 	 8920.13688269573 0.6050223467562018 
writer 	 2181.6972958366678 1.2687008440378114 
crumbling 	 13803.668762231982 0.6050223467562018 
ragin 	 15612.08975631288 0.6050223467562018 
seen 	 821.6574655792365 1.4447973588861136 
chekhov's 	 13803.668762231982 0.6050223467562018 
ward 	 10535.210177427567 0.6050223467562018 
light 	 2626.799076927697 0.9290090697449582 
checkhov's 	 13803.668762231982 0.6050223467562018 
classic 	 1424.4644636062021 1.4447973588861136 
fatalism 	 6372.905147588891 0.9290090697449582 
bridge 	 4939.765417021342 0.9290090697449582 
drina 	 13803.668762231982 0.6050223467562018 
andric 	 15612.08975631288 0.6050223467562018 
near 	 6336.186663887 0.6050223467562018 
yugoslavia 	 8071.109839961786 0.6050223467562018 
serving 	 8378.40577998929 0.6050223467562018 
symbol 	 9604.645248691415 0.6050223467562018 
connecting 	 12745.810295177782 0.6050223467562018 
homeland 	 12745.810295177782 0.6050223467562018 
patriotism 	 13803.668762231982 0.6050223467562018 
mishima 	 7806.04487815644 0.9290090697449582 
conflicting 	 5267.6050887137835 0.9290090697449582 
honor 	 5468.694650548442 0.9290090697449582 
satyricon 	 15612.08975631288 0.6050223467562018 
petronius 	 7806.04487815644 0.9290090697449582 
critiques 	 10186.826774070189 0.6050223467562018 
crotic 	 15612.08975631288 0.6050223467562018 
highly 	 3284.9923929541965 0.9290090697449582 
informative 	 12745.810295177782 0.6050223467562018 
piece 	 8920.13688269573 0.6050223467562018 
classical 	 1220.091218822515 1.4447973588861136 
mephistophelian 	 15612.08975631288 0.6050223467562018 
side 	 5739.139001420136 0.6050223467562018 
technological 	 7930.048459667637 0.6050223467562018 
growth 	 2401.3256275786857 0.9290090697449582 
technology 	 4886.819844684711 0.6050223467562018 
faust 	 4248.603431725927 1.1308671458294086 
legend 	 2401.1613121728537 1.2687008440378114 
recorded 	 8920.13688269573 0.6050223467562018 
marlowe 	 12745.810295177782 0.6050223467562018 
goethe 	 5204.02991877096 1.1308671458294086 
jaun 	 15612.08975631288 0.6050223467562018 
luis 	 11995.247768151086 0.6050223467562018 
borges 	 15612.08975631288 0.6050223467562018 
spanish 	 1045.7924732764416 1.504460237255773 
perceptions 	 9879.530834042684 0.6050223467562018 
genius 	 9355.98098958193 0.6050223467562018 
exposed 	 11413.066242772313 0.6050223467562018 
chapters 	 9879.530834042684 0.6050223467562018 
declares 	 15612.08975631288 0.6050223467562018 
knighthood 	 6901.834381115991 0.9290090697449582 
stendahl 	 7806.04487815644 0.9290090697449582 
zola 	 4248.603431725927 1.1308671458294086 
analyzes 	 300.8714506590301 1.7171948150667173 
