term 	 tf-idf weight 	 BM25 ranking 
 icons 	 477.58101350144784 1.7561470938845098 
real 	 2507.6549582925054 0.9474837570748076 
estate 	 3820.6481080115827 0.9474837570748076 
securities 	 4398.280246040283 0.9474837570748076 
tax 	 2982.884088630008 0.9474837570748076 
tort 	 4297.666562494646 0.9474837570748076 
internet 	 130.12167226184408 1.8000416321985588 
resources 	 470.88789151158926 1.6364324512172066 
source 	 3089.1727253812837 0.9474837570748076 
comprehensive 	 941.1857315472016 1.45955069504348 
list 	 961.6288103341934 1.45955069504348 
sites 	 3426.3805565307957 0.9474837570748076 
intended 	 3888.6106051483193 0.9474837570748076 
starter 	 7521.807904823799 0.9474837570748076 
set 	 1865.5471492186552 0.9474837570748076 
included 	 2884.88643100258 0.9474837570748076 
please 	 1118.254641124677 1.2858204966192937 
know 	 3126.6979000604324 0.9474837570748076 
web 	 429.9171807482201 1.6875609854592821 
mailto 	 456.5681110924385 1.2858204966192937 
canadian 	 263.9173714718183 1.8529726885386792 
radio 	 2736.8331551825063 0.9474837570748076 
television 	 3165.377875004542 0.9474837570748076 
telecommunications 	 2018.3319404841966 1.2858204966192937 
commission 	 941.1857315472016 1.45955069504348 
crtc 	 3760.9039524118994 1.2858204966192937 
federal 	 1118.254641124677 1.2858204966192937 
fcc 	 2379.9483055560854 1.2858204966192937 
gov 	 2916.710915638833 0.9474837570748076 
united 	 866.5544905183838 1.2858204966192937 
glossary 	 3760.9039524118994 1.2858204966192937 
industry 	 991.2809055063161 1.2858204966192937 
terms 	 2255.4118940965814 0.9474837570748076 
bell 	 1156.8646107325708 1.5652960932494582 
eng 	 2749.3722244470673 1.2858204966192937 
gtit1 	 7521.807904823799 0.9474837570748076 
provided 	 2884.88643100258 0.9474837570748076 
online 	 4117.78880203832 0.9474837570748076 
canada 	 149.50532029685456 1.903867323811229 
telecom 	 2216.840632953316 1.45955069504348 
information 	 149.1600529342986 1.7260820844216456 
spp 	 3760.9039524118994 1.2858204966192937 
umich 	 6650.521898859947 0.9474837570748076 
edu 	 91.64260337660359 1.8620986672292934 
info 	 1302.1974935003093 1.2858204966192937 
html 	 15.435539697551606 1.9329009077280417 
maintained 	 2199.1401230201413 1.2858204966192937 
jeff 	 5779.235892896096 0.9474837570748076 
mackie 	 7521.807904823799 0.9474837570748076 
mason 	 5269.566252004133 0.9474837570748076 
juan 	 5498.744448894135 0.9474837570748076 
riveros 	 7521.807904823799 0.9474837570748076 
server 	 4907.949886932244 0.9474837570748076 
supported 	 3820.6481080115827 0.9474837570748076 
school 	 291.7499978527648 1.7561470938845098 
public 	 677.9387541633462 1.2858204966192937 
policy 	 1997.9853174005427 0.9474837570748076 
studies 	 1346.600713453581 0.9474837570748076 
michigan 	 3960.4587313451343 0.9474837570748076 
telephone 	 3126.6979000604324 0.9474837570748076 
association 	 1219.8462305778844 1.2858204966192937 
usta 	 3760.9039524118994 1.2858204966192937 
org 	 320.52859887859694 1.8000416321985588 
findlaw 	 537.2719932017 1.8529726885386792 
com 	 22.471345709965792 1.9209661774694 
topics 	 288.93634130511015 1.8425532404935212 
index 	 54.66192661105071 1.8000416321985588 
ted 	 6650.521898859947 0.9474837570748076 
tjaden's 	 7521.807904823799 0.9474837570748076 
consumer 	 1508.662299592234 1.2858204966192937 
guide 	 3580.4916754008573 0.9474837570748076 
fis 	 7521.807904823799 0.9474837570748076 
tjaden 	 7521.807904823799 0.9474837570748076 
dates 	 2634.7831260020666 1.2858204966192937 
documents 	 625.3395800120866 1.6364324512172066 
nlc 	 1253.6346508039665 1.6875609854592821 
bnc 	 1253.6346508039665 1.6875609854592821 
services 	 1771.396204845046 0.9474837570748076 
quickref 	 7521.807904823799 0.9474837570748076 
econstit 	 7521.807904823799 0.9474837570748076 
quick 	 4036.663880968393 0.9474837570748076 
reference 	 3017.324599184468 0.9474837570748076 
national 	 477.554912381783 1.45955069504348 
confederation 	 5498.744448894135 0.9474837570748076 
bibliography 	 5075.798847461269 0.9474837570748076 
confed 	 3760.9039524118994 1.2858204966192937 
biblio 	 1880.4519762059497 1.5652960932494582 
charlottetown 	 3760.9039524118994 1.2858204966192937 
accord 	 2453.974943466122 1.2858204966192937 
screen 	 2313.7292214651416 1.2858204966192937 
cpacf 	 3760.9039524118994 1.2858204966192937 
program 	 741.5767257970474 1.2858204966192937 
english 	 399.13990848528437 1.7260820844216456 
cable 	 2313.7292214651416 1.2858204966192937 
parliamentary 	 1689.4704821281782 1.2858204966192937 
channel 	 2199.1401230201413 1.2858204966192937 
cpac 	 1880.4519762059497 1.5652960932494582 
cii2 	 3760.9039524118994 1.2858204966192937 
cochran 	 2749.3722244470673 1.2858204966192937 
laws 	 1242.2950454932911 1.2858204966192937 
justice 	 670.5430923685636 1.5652960932494582 
folio 	 3760.9039524118994 1.2858204966192937 
pgi 	 3760.9039524118994 1.2858204966192937 
const_e 	 7521.807904823799 0.9474837570748076 
nfo 	 3760.9039524118994 1.2858204966192937 
query 	 3760.9039524118994 1.2858204966192937 
toc 	 6140.852257967985 0.9474837570748076 
hit_headings 	 3760.9039524118994 1.2858204966192937 
depth 	 3089.1727253812837 0.9474837570748076 
annotated 	 5269.566252004133 0.9474837570748076 
consolidated 	 5779.235892896096 0.9474837570748076 
version 	 2853.8478169764835 0.9474837570748076 
constitution 	 1713.1902782653979 1.2858204966192937 
including 	 551.8172220653843 1.2858204966192937 
charter 	 5075.798847461269 0.9474837570748076 
freedoms 	 4907.949886932244 0.9474837570748076 
prepared 	 3636.3675409523953 0.9474837570748076 
department 	 604.4577601417374 1.5652960932494582 
updated 	 448.86690448452697 1.45955069504348 
december 	 3052.7353915316053 0.9474837570748076 
british 	 3089.1727253812837 0.9474837570748076 
north 	 2217.8867194174322 0.9474837570748076 
america 	 2461.940829569716 0.9474837570748076 
act 	 1147.0459345203453 1.2858204966192937 
constitu 	 7521.807904823799 0.9474837570748076 
ca_1867 	 7521.807904823799 0.9474837570748076 
inter 	 1401.5042804991394 1.45955069504348 
naccess 	 3760.9039524118994 1.2858204966192937 
site 	 835.8849860975018 1.45955069504348 
pro 	 3246.5027960744687 0.9474837570748076 
unity 	 4507.653546916247 0.9474837570748076 
discussion 	 1865.5471492186552 0.9474837570748076 
debate 	 3636.3675409523953 0.9474837570748076 
historical 	 2094.725346108656 0.9474837570748076 
docptr 	 7521.807904823799 0.9474837570748076 
meech 	 3760.9039524118994 1.2858204966192937 
lake 	 3580.4916754008573 0.9474837570748076 
world 	 232.28081159332515 1.6875609854592821 
wide 	 1341.0861847371273 1.2858204966192937 
constitutions 	 6650.521898859947 0.9474837570748076 
eur 	 7521.807904823799 0.9474837570748076 
iacl 	 7521.807904823799 0.9474837570748076 
const 	 6650.521898859947 0.9474837570748076 
south 	 2236.509282249354 0.9474837570748076 
african 	 3694.8432006054554 0.9474837570748076 
assembly 	 2253.8267734581236 1.2858204966192937 
onstitutional 	 7521.807904823799 0.9474837570748076 
virtual 	 1226.987471733061 1.5652960932494582 
droit 	 2507.269301607933 1.45955069504348 
umontreal 	 2507.269301607933 1.45955069504348 
bvs 	 2507.269301607933 1.45955069504348 
sujets 	 2507.269301607933 1.45955069504348 
constitutionnal 	 7521.807904823799 0.9474837570748076 
cornell 	 577.9235892896096 1.8000416321985588 
top 	 391.37963457037677 1.45955069504348 
topbut2 	 2507.269301607933 1.45955069504348 
centre 	 1126.9133867290618 1.5652960932494582 
lawjobs 	 7521.807904823799 0.9474837570748076 
based 	 1546.545034603098 0.9474837570748076 
oppportunities 	 7521.807904823799 0.9474837570748076 
includes 	 860.3007075771675 1.2858204966192937 
links 	 1029.44720050958 1.5652960932494582 
recruiters 	 7521.807904823799 0.9474837570748076 
survey 	 3052.7353915316053 0.9474837570748076 
lawyers 	 4036.663880968393 0.9474837570748076 
salaries 	 4907.949886932244 0.9474837570748076 
articles 	 2982.884088630008 0.9474837570748076 
trends 	 3089.1727253812837 0.9474837570748076 
west's 	 6650.521898859947 0.9474837570748076 
directory 	 4759.896611112171 0.9474837570748076 
environment 	 2294.0918690406907 0.9474837570748076 
doe 	 5498.744448894135 0.9474837570748076 
envhome 	 7521.807904823799 0.9474837570748076 
assessment 	 1644.5585232654005 1.2858204966192937 
agency 	 2655.7082341125797 0.9474837570748076 
ceaa 	 7521.807904823799 0.9474837570748076 
quotlegislation 	 7521.807904823799 0.9474837570748076 
cabinet 	 4297.666562494646 0.9474837570748076 
directives 	 6650.521898859947 0.9474837570748076 
guidelines 	 3526.9942400764307 0.9474837570748076 
west 	 2236.509282249354 0.9474837570748076 
coast 	 4204.512841497419 0.9474837570748076 
base 	 3426.3805565307957 0.9474837570748076 
freenet 	 7521.807904823799 0.9474837570748076 
vancouver 	 4204.512841497419 0.9474837570748076 
local 	 1967.3252608234748 0.9474837570748076 
pages 	 1462.713976858267 0.9474837570748076 
wcel 	 7521.807904823799 0.9474837570748076 
indiana 	 5498.744448894135 0.9474837570748076 
lib 	 2889.617946448048 1.2858204966192937 
envlaw 	 7521.807904823799 0.9474837570748076 
aboriginal 	 3760.9039524118994 1.2858204966192937 
legislation 	 2949.3621020477312 0.9474837570748076 
bloorstreet 	 7521.807904823799 0.9474837570748076 
block 	 3289.117046530801 0.9474837570748076 
ablawleg 	 7521.807904823799 0.9474837570748076 
bill 	 2823.557194641605 0.9474837570748076 
henderson 	 5075.798847461269 0.9474837570748076 
afn 	 1824.3303419301556 0.9474837570748076 
fox 	 5269.566252004133 0.9474837570748076 
nstn 	 7521.807904823799 0.9474837570748076 
nstn1439 	 7521.807904823799 0.9474837570748076 
abolaw 	 7521.807904823799 0.9474837570748076 
indian 	 1296.2035350494398 1.45955069504348 
northern 	 3756.1724369664316 0.9474837570748076 
affairs 	 1491.442044315004 1.2858204966192937 
inac 	 3760.9039524118994 1.2858204966192937 
index_e 	 7521.807904823799 0.9474837570748076 
contents 	 3089.1727253812837 0.9474837570748076 
include 	 2146.038593220617 0.9474837570748076 
acts 	 3580.4916754008573 0.9474837570748076 
administered 	 4907.949886932244 0.9474837570748076 
legisl 	 3760.9039524118994 1.2858204966192937 
innu 	 3760.9039524118994 1.2858204966192937 
nation 	 3378.9409642563564 0.9474837570748076 
apc 	 5779.235892896096 0.9474837570748076 
american 	 464.5616231866503 1.45955069504348 
yahoo 	 1108.420316476658 1.6875609854592821 
society 	 477.04034991874664 1.5652960932494582 
culture 	 1230.970414784858 1.2858204966192937 
cultures 	 1910.3240540057914 1.2858204966192937 
native 	 3756.1724369664316 0.9474837570748076 
society_and_culture 	 3760.9039524118994 1.2858204966192937 
native_american 	 7521.807904823799 0.9474837570748076 
safety 	 951.282605658828 1.45955069504348 
council 	 1458.3554578194164 1.2858204966192937 
hiv 	 4759.896611112171 0.9474837570748076 
aids 	 3694.8432006054554 0.9474837570748076 
network 	 1563.3489500302162 1.2858204966192937 
odyssee 	 6650.521898859947 0.9474837570748076 
net 	 972.2369718796109 1.45955069504348 
jujube 	 7521.807904823799 0.9474837570748076 
pls 	 1253.6346508039665 1.6875609854592821 
representatives 	 1096.3723488436003 1.45955069504348 
hwc 	 7521.807904823799 0.9474837570748076 
chrc 	 7521.807904823799 0.9474837570748076 
carter 	 4507.653546916247 0.9474837570748076 
center 	 1952.2711886777531 0.9474837570748076 
emory 	 6650.521898859947 0.9474837570748076 
carter_center 	 7521.807904823799 0.9474837570748076 
civil 	 715.3461977402056 1.45955069504348 
liberties 	 4627.458442930283 0.9474837570748076 
cushrid 	 2507.269301607933 1.45955069504348 
aaas 	 7521.807904823799 0.9474837570748076 
dspp 	 7521.807904823799 0.9474837570748076 
shr 	 7521.807904823799 0.9474837570748076 
documentation 	 4507.653546916247 0.9474837570748076 
diana 	 1535.2130644919962 1.5652960932494582 
database 	 4907.949886932244 0.9474837570748076 
websites 	 7521.807904823799 0.9474837570748076 
bora 	 7521.807904823799 0.9474837570748076 
laskin 	 7521.807904823799 0.9474837570748076 
cincinnati 	 6650.521898859947 0.9474837570748076 
college 	 3165.377875004542 0.9474837570748076 
yale 	 1317.3915630010333 1.5652960932494582 
elsinore 	 3760.9039524118994 1.2858204966192937 
cis 	 2537.8994237306347 1.2858204966192937 
dianaweb 	 7521.807904823799 0.9474837570748076 
minnesota 	 5779.235892896096 0.9474837570748076 
umn 	 6650.521898859947 0.9474837570748076 
humanrts 	 7521.807904823799 0.9474837570748076 
electronic 	 1763.4971200382154 1.2858204966192937 
frontier 	 5779.235892896096 0.9474837570748076 
insight 	 4297.666562494646 0.9474837570748076 
dcss 	 7521.807904823799 0.9474837570748076 
mcmaster 	 7521.807904823799 0.9474837570748076 
efc 	 7521.807904823799 0.9474837570748076 
tackles 	 7521.807904823799 0.9474837570748076 
issues 	 1745.742253204619 0.9474837570748076 
free 	 1590.6548236058645 0.9474837570748076 
speech 	 3126.6979000604324 0.9474837570748076 
censorship 	 4297.666562494646 0.9474837570748076 
lawweb 	 7521.807904823799 0.9474837570748076 
hrights 	 7521.807904823799 0.9474837570748076 
lillian 	 6650.521898859947 0.9474837570748076 
goldman 	 6140.852257967985 0.9474837570748076 
listing 	 5075.798847461269 0.9474837570748076 
research 	 1442.6015477857904 0.9474837570748076 
education 	 1365.2232762855026 0.9474837570748076 
hrrec 	 3760.9039524118994 1.2858204966192937 
uottawa 	 7521.807904823799 0.9474837570748076 
ottawa 	 6140.852257967985 0.9474837570748076 
amnesty 	 2634.7831260020666 1.2858204966192937 
line 	 2045.4249096749813 0.9474837570748076 
human_rights 	 2507.269301607933 1.45955069504348 
business 	 1142.314419074878 0.9474837570748076 
economy 	 2531.1509694887814 0.9474837570748076 
organizations 	 1354.602834718503 1.2858204966192937 
business_and_economy 	 7521.807904823799 0.9474837570748076 
public_interest_groups 	 7521.807904823799 0.9474837570748076 
copyright 	 98.03714991682665 1.8000416321985588 
estats 	 7521.807904823799 0.9474837570748076 
doc 	 7521.807904823799 0.9474837570748076 
office 	 2061.6444895537174 0.9474837570748076 
data 	 1055.7990413330785 1.2858204966192937 
marketplace 	 4907.949886932244 0.9474837570748076 
cipo 	 7521.807904823799 0.9474837570748076 
opy 	 7521.807904823799 0.9474837570748076 
cancopy 	 7521.807904823799 0.9474837570748076 
clearance 	 5779.235892896096 0.9474837570748076 
technology 	 784.8131525193154 1.45955069504348 
mcgill 	 2216.840632953316 1.45955069504348 
coursenotes 	 7521.807904823799 0.9474837570748076 
course 	 2982.884088630008 0.9474837570748076 
materials 	 2982.884088630008 0.9474837570748076 
kuesterlaw 	 3760.9039524118994 1.2858204966192937 
resource 	 1737.840496482235 1.2858204966192937 
available 	 1967.3252608234748 0.9474837570748076 
patent 	 1926.4119642986986 1.45955069504348 
trademark 	 2046.9507526559948 1.45955069504348 
organisation 	 2634.7831260020666 1.2858204966192937 
wipo 	 2507.269301607933 1.45955069504348 
itl 	 7521.807904823799 0.9474837570748076 
irv 	 6140.852257967985 0.9474837570748076 
uit 	 7521.807904823799 0.9474837570748076 
trade_law 	 7521.807904823799 0.9474837570748076 
i_p 	 7521.807904823799 0.9474837570748076 
art 	 1422.8058630768394 0.9474837570748076 
website 	 3820.6481080115827 0.9474837570748076 
benedict 	 6140.852257967985 0.9474837570748076 
perlaw 	 7521.807904823799 0.9474837570748076 
fair 	 3526.9942400764307 0.9474837570748076 
fairuse 	 7521.807904823799 0.9474837570748076 
stanford 	 4907.949886932244 0.9474837570748076 
intellectprop 	 7521.807904823799 0.9474837570748076 
intelproperty 	 7521.807904823799 0.9474837570748076 
foreign 	 1908.1613996749866 0.9474837570748076 
dfait 	 7521.807904823799 0.9474837570748076 
maeci 	 7521.807904823799 0.9474837570748076 
menu 	 4398.280246040283 0.9474837570748076 
economic 	 469.8979970176246 1.5652960932494582 
tufts 	 6650.521898859947 0.9474837570748076 
jtrachtm 	 7521.807904823799 0.9474837570748076 
joel 	 5498.744448894135 0.9474837570748076 
trachtman's 	 7521.807904823799 0.9474837570748076 
operation 	 2982.884088630008 0.9474837570748076 
development 	 1462.713976858267 0.9474837570748076 
oecd 	 2199.1401230201413 1.2858204966192937 
bank 	 2531.1509694887814 0.9474837570748076 
worldbank 	 6650.521898859947 0.9474837570748076 
organization 	 1837.9196634731545 0.9474837570748076 
wto 	 3760.9039524118994 1.2858204966192937 
unicc 	 7521.807904823799 0.9474837570748076 
welcome 	 3636.3675409523953 0.9474837570748076 
interntrade 	 7521.807904823799 0.9474837570748076 
upper 	 3580.4916754008573 0.9474837570748076 
rules 	 1458.3554578194164 1.2858204966192937 
conduct 	 3580.4916754008573 0.9474837570748076 
yorku 	 3760.9039524118994 1.2858204966192937 
osgoode 	 3760.9039524118994 1.2858204966192937 
lsuc 	 7521.807904823799 0.9474837570748076 
pageone 	 7521.807904823799 0.9474837570748076 
ontario 	 5498.744448894135 0.9474837570748076 
procedure 	 3426.3805565307957 0.9474837570748076 
owp 	 7521.807904823799 0.9474837570748076 
pracrule 	 7521.807904823799 0.9474837570748076 
created 	 2333.9999828221185 0.9474837570748076 
aug 	 5269.566252004133 0.9474837570748076 
anne 	 4627.458442930283 0.9474837570748076 
johnston 	 5498.744448894135 0.9474837570748076 
redesigned 	 6650.521898859947 0.9474837570748076 
oct 	 4627.458442930283 0.9474837570748076 
marlene 	 6650.521898859947 0.9474837570748076 
van 	 2396.3433378343093 0.9474837570748076 
ballegooie 	 7521.807904823799 0.9474837570748076 
susan 	 5498.744448894135 0.9474837570748076 
barker 	 6140.852257967985 0.9474837570748076 
coordinator 	 5075.798847461269 0.9474837570748076 
send 	 1328.250022581192 0.9474837570748076 
comments 	 1422.8058630768394 0.9474837570748076 
suggestions 	 3580.4916754008573 0.9474837570748076 
dec 	 4204.512841497419 0.9474837570748076 
