term 	 tf-idf weight 	 BM25 ranking 
 lslogo 	 2012.7534847118613 1.4661697079279497 
handbook 	 1727.1768463211638 1.4661697079279497 
tuition 	 1560.1252217806002 1.4661697079279497 
registration 	 1516.7166893295757 1.4661697079279497 
discounts 	 1516.7166893295757 1.4661697079279497 
apply 	 1092.5134894509383 1.4661697079279497 
outline 	 1156.023569539769 1.4661697079279497 
theories 	 845.4695869607002 1.4661697079279497 
origin 	 1211.038503301072 1.4661697079279497 
time 	 392.8413240294391 1.4661697079279497 
travel 	 1252.272888226549 1.4661697079279497 
solar 	 1441.6002079304665 1.4661697079279497 
system 	 444.4085389264895 1.4661697079279497 
geometry 	 2012.7534847118613 1.4661697079279497 
sun 	 1298.0978498919612 1.4661697079279497 
structure 	 720.9298677490516 1.4661697079279497 
hazards 	 1608.65183247103 1.4661697079279497 
people 	 482.7617932296864 1.4661697079279497 
human 	 635.0094299691121 1.4661697079279497 
factors 	 771.7017156037182 1.4661697079279497 
surviving 	 1408.6226123689692 1.4661697079279497 
orbit 	 1516.7166893295757 1.4661697079279497 
living 	 906.2956184687989 1.4661697079279497 
rockets 	 2012.7534847118613 1.4661697079279497 
sputnik 	 2465.3817476431227 1.4661697079279497 
dawn 	 2012.7534847118613 1.4661697079279497 
age 	 799.6446252952878 1.4661697079279497 
apollo 	 2012.7534847118613 1.4661697079279497 
skylab 	 2179.805109252425 1.4661697079279497 
international 	 277.9367022462563 1.6919768291488704 
station 	 1139.2049077974239 1.4661697079279497 
shuttle 	 674.832532394506 1.6919768291488704 
gravity 	 2179.805109252425 1.4661697079279497 
laws 	 407.1802376636722 1.6919768291488704 
newton 	 1802.2933277202733 1.4661697079279497 
mass 	 466.3452789082402 1.4661697079279497 
weight 	 1349.665064789012 1.4661697079279497 
zero 	 1516.7166893295757 1.4661697079279497 
beating 	 2012.7534847118613 1.4661697079279497 
attraction 	 1802.2933277202733 1.4661697079279497 
earth 	 1139.2049077974239 1.4661697079279497 
rocket 	 554.5555887441112 1.7835387036196428 
propulsion 	 1477.4488952501938 1.4661697079279497 
equation 	 1802.2933277202733 1.4661697079279497 
kepler 	 2465.3817476431227 1.4661697079279497 
balance 	 1037.4985556896352 1.4661697079279497 
forces 	 879.1209357385783 1.4661697079279497 
shape 	 1408.6226123689692 1.4661697079279497 
ideal 	 1211.038503301072 1.4661697079279497 
perturbed 	 2465.3817476431227 1.4661697079279497 
maneuvering 	 1232.6908738215614 1.6919768291488704 
planet 	 1441.6002079304665 1.4661697079279497 
launch 	 189.58958616619697 1.9129377623486856 
vehicles 	 605.519251650536 1.6919768291488704 
sites 	 1123.045973978272 1.4661697079279497 
worldwide 	 1211.038503301072 1.4661697079279497 
inventory 	 1727.1768463211638 1.4661697079279497 
systems 	 649.8134177702502 1.4661697079279497 
services 	 580.6008244997287 1.4661697079279497 
business 	 124.80337858892861 1.7835387036196428 
artificial 	 1441.6002079304665 1.4661697079279497 
satellite 	 480.53340264348884 1.7835387036196428 
profit 	 1139.2049077974239 1.4661697079279497 
defense 	 853.6282694067263 1.4661697079279497 
science 	 450.55790681575985 1.4661697079279497 
debris 	 2179.805109252425 1.4661697079279497 
orbiting 	 2179.805109252425 1.4661697079279497 
junk 	 2179.805109252425 1.4661697079279497 
remote 	 1349.665064789012 1.4661697079279497 
manipulators 	 2465.3817476431227 1.4661697079279497 
teleoperators 	 2465.3817476431227 1.4661697079279497 
suits 	 1663.6667662323334 1.4661697079279497 
astronaut 	 2012.7534847118613 1.4661697079279497 
equipment 	 1024.8206323189324 1.4661697079279497 
manufacturing 	 1252.272888226549 1.4661697079279497 
construction 	 988.9719449992051 1.4661697079279497 
vehicle 	 369.16565294977966 1.7835387036196428 
technology 	 257.23390520123945 1.7835387036196428 
opportunities 	 518.7492778448176 1.6919768291488704 
entries 	 1802.2933277202733 1.4661697079279497 
prospects 	 525.289509697621 1.6919768291488704 
coming 	 1252.272888226549 1.4661697079279497 
constellations 	 2465.3817476431227 1.4661697079279497 
geostationary 	 2465.3817476431227 1.4661697079279497 
communications 	 441.367934719869 1.4661697079279497 
pressing 	 2179.805109252425 1.4661697079279497 
instructor 	 1894.2284708617276 1.4661697079279497 
marshall 	 1477.4488952501938 1.4661697079279497 
kaplan 	 726.6017030841417 1.7835387036196428 
internationally 	 1802.2933277202733 1.4661697079279497 
known 	 751.9219172989376 1.4661697079279497 
lecturer 	 2179.805109252425 1.4661697079279497 
chairman 	 1000.578346309484 1.4661697079279497 
launchspace 	 947.1142354308638 1.6919768291488704 
offers 	 853.6282694067263 1.4661697079279497 
professional 	 829.6214792596484 1.4661697079279497 
development 	 239.7128713069236 1.6919768291488704 
courses 	 1441.6002079304665 1.4661697079279497 
world 	 456.800450484248 1.4661697079279497 
carries 	 1560.1252217806002 1.4661697079279497 
variety 	 861.9517848215443 1.4661697079279497 
leading 	 635.0094299691121 1.4661697079279497 
edge 	 1349.665064789012 1.4661697079279497 
marketing 	 966.6962498358515 1.4661697079279497 
studies 	 441.367934719869 1.4661697079279497 
community 	 635.0094299691121 1.4661697079279497 
spearheaded 	 2465.3817476431227 1.4661697079279497 
ventures 	 1477.4488952501938 1.4661697079279497 
expendable 	 2465.3817476431227 1.4661697079279497 
reusable 	 1232.6908738215614 1.6919768291488704 
news 	 751.9219172989376 1.4661697079279497 
referred 	 1408.6226123689692 1.4661697079279497 
design 	 385.8508578018591 1.6919768291488704 
guru 	 2465.3817476431227 1.4661697079279497 
created 	 765.0023810045448 1.4661697079279497 
developed 	 821.9203204586414 1.4661697079279497 
innovations 	 1560.1252217806002 1.4661697079279497 
served 	 1323.0751940803325 1.4661697079279497 
chief 	 448.51840092887534 1.6919768291488704 
engineer 	 863.5884231605819 1.6919768291488704 
fully 	 1064.0884263983144 1.4661697079279497 
concept 	 829.6214792596484 1.4661697079279497 
prior 	 966.6962498358515 1.4661697079279497 
conestoga 	 2465.3817476431227 1.4661697079279497 
spent 	 1274.5485833899027 1.4661697079279497 
adding 	 1211.038503301072 1.4661697079279497 
addition 	 915.7672999773747 1.4661697079279497 
publishing 	 1349.665064789012 1.4661697079279497 
papers 	 1231.1400509388782 1.4661697079279497 
reports 	 1050.579019395242 1.4661697079279497 
articles 	 977.683567633702 1.4661697079279497 
author 	 1064.0884263983144 1.4661697079279497 
books 	 966.6962498358515 1.4661697079279497 
textbook 	 2179.805109252425 1.4661697079279497 
modern 	 692.1069292430045 1.4661697079279497 
dynamics 	 1078.0558656886953 1.4661697079279497 
control 	 580.6008244997287 1.4661697079279497 
book 	 665.1692324267096 1.4661697079279497 
america's 	 1191.8722568594965 1.4661697079279497 
wings 	 2179.805109252425 1.4661697079279497 
imagemap 	 1378.0901278416359 1.4661697079279497 
navbar 	 1894.2284708617276 1.4661697079279497 
ismap 	 1894.2284708617276 1.4661697079279497 
map 	 1092.5134894509383 1.4661697079279497 
