term 	 tf-idf weight 	 BM25 ranking 
 copyright 	 58.92801373945206 1.874816544285572 
nations 	 23441.30885132596 0.22695777159731326 
asean 	 14395.421363149557 0.5549280754019316 
countries 	 1429.8649059871475 1.1694531186213246 
move 	 5565.222835131295 0.6772651892054877 
encourage 	 14479.416471765613 0.407655276614473 
provinces 	 15590.191881708282 0.5549280754019316 
kalimantan 	 26448.998360637383 0.407655276614473 
sulawesi 	 26448.998360637383 0.407655276614473 
brunei 	 13224.499180318691 0.6772651892054877 
malaysia 	 4515.906063219437 1.0706503101601446 
philippines 	 10796.566022362169 0.6772651892054877 
minister 	 10035.009825804342 0.407655276614473 
transportation 	 11415.705933690653 0.407655276614473 
haryanto 	 52897.996721274765 0.22695777159731326 
dhanutirto 	 52897.996721274765 0.22695777159731326 
told 	 1789.059988142362 1.2113740753058344 
parliament 	 21988.86987791108 0.22695777159731326 
facility 	 24804.000860998927 0.22695777159731326 
cover 	 10488.74118674991 0.407655276614473 
services 	 778.5969794565536 1.3438482737474244 
stopovers 	 52897.996721274765 0.22695777159731326 
overseas 	 8135.78612480185 0.6772651892054877 
destinations 	 4808.908792843161 1.1694531186213246 
airlines 	 1122.177396524393 1.5755641086886194 
partners 	 10074.61480043826 0.5549280754019316 
growth 	 1627.2685739973615 1.1228251713993636 
eaga 	 52897.996721274765 0.22695777159731326 
link 	 8032.141108388288 0.5549280754019316 
major 	 986.7984310720857 1.2113740753058344 
cities 	 8805.24114101916 0.5549280754019316 
north 	 742.7404098818085 1.457715221222392 
headline 	 806.3892352607733 1.7625908089411673 
list 	 343.8695313035181 1.7661441891380871 
delhi 	 7795.095940854141 0.8687963950838536 
british 	 7241.656561222632 0.5549280754019316 
airways 	 5398.2830111810845 1.0118761367923732 
jet 	 8661.4727905999 0.5549280754019316 
announced 	 4134.00014349982 0.8687963950838536 
innovative 	 27852.390759817812 0.22695777159731326 
joint 	 2473.432371169464 1.0706503101601446 
frequent 	 16737.265728811293 0.407655276614473 
programme 	 9264.710753324689 0.6772651892054877 
partnership 	 9856.243309158626 0.5549280754019316 
november 	 10609.844652661375 0.407655276614473 
kevin 	 40643.15456897493 0.22695777159731326 
steele 	 43186.264089448676 0.22695777159731326 
ba's 	 52897.996721274765 0.22695777159731326 
news 	 5377.823421458421 0.5549280754019316 
customers 	 6044.7688802629555 0.780505348675992 
boost 	 34515.73349282501 0.22695777159731326 
civil 	 5030.756076390945 0.5549280754019316 
naresh 	 52897.996721274765 0.22695777159731326 
goyal 	 52897.996721274765 0.22695777159731326 
chairman 	 2683.5899822135434 1.0118761367923732 
reciprocity 	 52897.996721274765 0.22695777159731326 
benefits 	 6225.526594949669 0.5549280754019316 
ffp 	 43186.264089448676 0.22695777159731326 
check 	 7813.769617108653 0.5549280754019316 
ins 	 46770.575645124845 0.22695777159731326 
exchangeability 	 52897.996721274765 0.22695777159731326 
documents 	 21988.86987791108 0.22695777159731326 
value 	 5567.996930410464 0.5549280754019316 
added 	 2413.885520407544 1.0706503101601446 
introduced 	 13673.555190736333 0.407655276614473 
soon 	 5782.775396048583 0.6772651892054877 
subject 	 1953.7943748272123 0.6772651892054877 
clearance 	 40643.15456897493 0.22695777159731326 
gina 	 15590.191881708282 0.5549280754019316 
putong 	 17632.665573758255 0.5549280754019316 
authorities 	 4566.2823734762615 0.780505348675992 
strengthening 	 37058.843013298756 0.22695777159731326 
marketing 	 1382.782337952901 1.3150850952338666 
promotions 	 12890.188525119105 0.5549280754019316 
territory's 	 17632.665573758255 0.5549280754019316 
counterparts 	 40643.15456897493 0.22695777159731326 
china 	 1073.4359928854174 1.4382171396373322 
tourist 	 2058.824611849931 1.3946886841755766 
hkta 	 4408.166393439564 1.2113740753058344 
yuk 	 52897.996721274765 0.22695777159731326 
sui 	 46770.575645124845 0.22695777159731326 
pearl 	 8924.03775090645 0.6772651892054877 
river 	 13926.195379908906 0.407655276614473 
delta 	 7734.113115071464 0.780505348675992 
organisation 	 5294.120430471251 0.9451660557641991 
initiatives 	 18529.421506649378 0.407655276614473 
expanded 	 13926.195379908906 0.407655276614473 
reminded 	 18529.421506649378 0.407655276614473 
hkta's 	 52897.996721274765 0.22695777159731326 
annual 	 8661.4727905999 0.5549280754019316 
meeting 	 6762.767448969188 0.5549280754019316 
industry's 	 38670.565575357316 0.22695777159731326 
role 	 2318.0379649263027 0.780505348675992 
largest 	 3710.1485567541963 0.8687963950838536 
exchange 	 4195.496474699964 0.780505348675992 
earner 	 52897.996721274765 0.22695777159731326 
economy 	 4450.154051368502 0.6772651892054877 
assured 	 37058.843013298756 0.22695777159731326 
positive 	 11415.705933690653 0.407655276614473 
future 	 1917.0527074811775 0.9451660557641991 
china's 	 35696.1510036258 0.22695777159731326 
window 	 40643.15456897493 0.22695777159731326 
world 	 466.72630400840876 1.457715221222392 
planning 	 2996.78319621426 0.9451660557641991 
expand 	 29568.729927475877 0.22695777159731326 
initiative 	 27852.390759817812 0.22695777159731326 
operating 	 7710.367194731444 0.5549280754019316 
fully 	 11415.705933690653 0.407655276614473 
year's 	 8135.78612480185 0.6772651892054877 
visit 	 4508.309966725214 0.780505348675992 
efforts 	 8351.995395615697 0.407655276614473 
undertaken 	 34515.73349282501 0.22695777159731326 
national 	 1007.5382876980816 1.1228251713993636 
administration 	 5030.756076390945 0.5549280754019316 
cnta 	 52897.996721274765 0.22695777159731326 
exhibition 	 8637.252817889736 0.780505348675992 
booths 	 52897.996721274765 0.22695777159731326 
hubs 	 26448.998360637383 0.407655276614473 
amy 	 46770.575645124845 0.22695777159731326 
chan 	 40643.15456897493 0.22695777159731326 
executive 	 4243.93786106455 0.780505348675992 
director 	 953.5219260681736 1.475905242769482 
expressed 	 4688.261770265192 0.780505348675992 
confidence 	 13673.555190736333 0.407655276614473 
verbal 	 31700.60250973717 0.22695777159731326 
reassurances 	 52897.996721274765 0.22695777159731326 
chinese 	 5283.144684611497 0.780505348675992 
officials 	 10370.867534646757 0.407655276614473 
policies 	 16557.871761982693 0.22695777159731326 
remain 	 11130.44567026259 0.407655276614473 
continue 	 5128.027942372172 0.6772651892054877 
flourish 	 38670.565575357316 0.22695777159731326 
jeff 	 40643.15456897493 0.22695777159731326 
zuckerberg 	 52897.996721274765 0.22695777159731326 
executives 	 15850.301254868586 0.407655276614473 
thomas 	 2841.4646037319167 1.0706503101601446 
cook 	 3436.8246596832046 1.0706503101601446 
welcomed 	 37058.843013298756 0.22695777159731326 
company's 	 12890.188525119105 0.5549280754019316 
form 	 3406.2399034750915 0.6772651892054877 
claim 	 21468.719857708347 0.22695777159731326 
world's 	 10566.867503245723 0.5549280754019316 
giant 	 5099.450143375114 0.9451660557641991 
american 	 1225.156548022073 1.0118761367923732 
automobile 	 30931.421937148843 0.22695777159731326 
aaa 	 5099.450143375114 0.9451660557641991 
keller 	 46770.575645124845 0.22695777159731326 
mak 	 52897.996721274765 0.22695777159731326 
incentive 	 12890.188525119105 0.5549280754019316 
people 	 493.2517628467901 1.457715221222392 
travelling 	 10796.566022362169 0.6772651892054877 
sector 	 4557.851730245445 0.8687963950838536 
business 	 422.81369445303864 1.4172646400743887 
specialists 	 17848.0755018129 0.407655276614473 
cent 	 1107.3401048576582 1.6662318795784008 
operational 	 28958.832943531226 0.22695777159731326 
january 	 2564.013971186086 1.0118761367923732 
provides 	 3932.128491464656 0.6772651892054877 
arrangements 	 10566.867503245723 0.5549280754019316 
access 	 3175.46779605186 0.8687963950838536 
worldwide 	 8661.4727905999 0.5549280754019316 
customer 	 5037.30740021913 0.8687963950838536 
promise 	 15850.301254868586 0.407655276614473 
includes 	 4033.4437841326762 0.5549280754019316 
following 	 2604.3997367331617 0.780505348675992 
holidaymakers 	 52897.996721274765 0.22695777159731326 
airline 	 2647.0602152356255 1.2836845704021962 
reservation 	 21593.132044724338 0.407655276614473 
changes 	 3653.5784982858995 0.6772651892054877 
ticket 	 12352.947671099584 0.5549280754019316 
revalidation 	 52897.996721274765 0.22695777159731326 
rerouting 	 52897.996721274765 0.22695777159731326 
car 	 3805.2353112302176 0.8687963950838536 
rental 	 40643.15456897493 0.22695777159731326 
reservations 	 17632.665573758255 0.5549280754019316 
emergency 	 24804.000860998927 0.22695777159731326 
local 	 988.2461248823456 1.2836845704021962 
telephone 	 5497.21746947777 0.6772651892054877 
calls 	 1732.2945581199804 1.3150850952338666 
provide 	 2994.0670523045974 0.780505348675992 
reciprocal 	 52897.996721274765 0.22695777159731326 
addition 	 9824.493849271836 0.407655276614473 
enhanced 	 33474.53145762259 0.22695777159731326 
service 	 838.7105595230151 1.3438482737474244 
focus 	 7073.229768440917 0.5549280754019316 
technology 	 3311.5743523965384 0.780505348675992 
applications 	 20741.735069293514 0.22695777159731326 
electronic 	 4960.800172199785 0.780505348675992 
distribution 	 4243.93786106455 0.780505348675992 
project 	 1944.5760357437334 1.1228251713993636 
begins 	 28388.312416675097 0.22695777159731326 
joins 	 46770.575645124845 0.22695777159731326 
catalist 	 26448.998360637383 0.407655276614473 
trading 	 14194.156208337548 0.407655276614473 
booking 	 6681.5108064464075 0.9451660557641991 
system 	 866.8516072617315 1.1694531186213246 
developed 	 5878.459249882192 0.5549280754019316 
integrates 	 43186.264089448676 0.22695777159731326 
aaa's 	 26448.998360637383 0.407655276614473 
avatar 	 52897.996721274765 0.22695777159731326 
allows 	 8805.24114101916 0.5549280754019316 
counsellors 	 52897.996721274765 0.22695777159731326 
create 	 4715.672980539462 0.6772651892054877 
electronically 	 40643.15456897493 0.22695777159731326 
customised 	 52897.996721274765 0.22695777159731326 
vacations 	 21593.132044724338 0.407655276614473 
independent 	 8351.995395615697 0.407655276614473 
deliver 	 17848.0755018129 0.407655276614473 
unparalleled 	 40643.15456897493 0.22695777159731326 
borders 	 35696.1510036258 0.22695777159731326 
graeme 	 52897.996721274765 0.22695777159731326 
clarke 	 40643.15456897493 0.22695777159731326 
senior 	 5940.699706449123 0.6772651892054877 
vice 	 5114.63628671745 0.780505348675992 
president 	 1497.0335261522987 1.1228251713993636 
products 	 4964.249323912447 0.6772651892054877 
today's 	 27852.390759817812 0.22695777159731326 
announcement 	 19335.282787678658 0.407655276614473 
level 	 6559.83961777761 0.407655276614473 
security 	 7670.649390779215 0.407655276614473 
peace 	 20512.11176948869 0.22695777159731326 
mind 	 8578.71175680867 0.407655276614473 
visiting 	 4833.820696919664 1.0118761367923732 
boston 	 32543.1444992074 0.22695777159731326 
britain 	 13434.578072721715 0.407655276614473 
beijing 	 12352.947671099584 0.5549280754019316 
include 	 1372.0243844702577 1.1694531186213246 
negotiations 	 29568.729927475877 0.22695777159731326 
multinational 	 33474.53145762259 0.22695777159731326 
suppliers 	 19335.282787678658 0.407655276614473 
ventures 	 10566.867503245723 0.5549280754019316 
publishing 	 28958.832943531226 0.22695777159731326 
johnny 	 52897.996721274765 0.22695777159731326 
shangri 	 8816.332786879128 0.8687963950838536 
resorts 	 9354.115129024969 0.780505348675992 
past 	 1690.6562898032817 1.0706503101601446 
named 	 13434.578072721715 0.407655276614473 
billy 	 38670.565575357316 0.22695777159731326 
chen 	 20321.577284487466 0.407655276614473 
moved 	 16737.265728811293 0.407655276614473 
prior 	 20741.735069293514 0.22695777159731326 
hangzhou 	 52897.996721274765 0.22695777159731326 
la's 	 52897.996721274765 0.22695777159731326 
fijian 	 52897.996721274765 0.22695777159731326 
resort 	 2148.3647541865175 1.3946886841755766 
yanuca 	 52897.996721274765 0.22695777159731326 
island 	 812.0130741187407 1.6075469503780857 
career 	 21219.68930532275 0.22695777159731326 
hospitality 	 52897.996721274765 0.22695777159731326 
spans 	 52897.996721274765 0.22695777159731326 
stints 	 52897.996721274765 0.22695777159731326 
chains 	 15590.191881708282 0.5549280754019316 
switzerland 	 33474.53145762259 0.22695777159731326 
mauritius 	 52897.996721274765 0.22695777159731326 
carlton 	 11692.643911281211 0.6772651892054877 
bali 	 13224.499180318691 0.6772651892054877 
appointed 	 7097.078104168774 0.6772651892054877 
dale 	 52897.996721274765 0.22695777159731326 
hipsh 	 52897.996721274765 0.22695777159731326 
assistant 	 10310.473979049613 0.5549280754019316 
responsible 	 6549.662566181223 0.5549280754019316 
ordination 	 23385.287822562423 0.407655276614473 
division 	 11270.774916813034 0.407655276614473 
operations 	 2405.887538963142 1.0118761367923732 
opening 	 3481.5488449772265 1.0118761367923732 
december 	 10734.359928854174 0.407655276614473 
millenia 	 52897.996721274765 0.22695777159731326 
iha 	 13224.499180318691 0.6772651892054877 
bid 	 35696.1510036258 0.22695777159731326 
farewell 	 21593.132044724338 0.407655276614473 
robin 	 52897.996721274765 0.22695777159731326 
costa 	 43186.264089448676 0.22695777159731326 
del 	 14194.156208337548 0.407655276614473 
sol 	 43186.264089448676 0.22695777159731326 
headed 	 16271.5722496037 0.407655276614473 
office 	 3624.6891980220494 0.6772651892054877 
andrew 	 29568.729927475877 0.22695777159731326 
jones 	 27852.390759817812 0.22695777159731326 
human 	 4541.653204633455 0.5549280754019316 
resources 	 5519.290587327564 0.5549280754019316 
marco 	 52897.996721274765 0.22695777159731326 
polo 	 52897.996721274765 0.22695777159731326 
spearman's 	 52897.996721274765 0.22695777159731326 
position 	 6414.90860089999 0.407655276614473 
commencing 	 52897.996721274765 0.22695777159731326 
october 	 4763.20169407779 0.6772651892054877 
hilton 	 5196.730627236094 1.0706503101601446 
head 	 9824.493849271836 0.407655276614473 
holiday 	 4314.466686603127 1.0118761367923732 
inn 	 9354.115129024969 0.780505348675992 
pacific 	 1279.4836259734968 1.457715221222392 
demanding 	 35696.1510036258 0.22695777159731326 
hit 	 16271.5722496037 0.407655276614473 
hard 	 6024.105831291216 0.6772651892054877 
aftermath 	 15465.710968574422 0.407655276614473 
tiananmen 	 46770.575645124845 0.22695777159731326 
square 	 27852.390759817812 0.22695777159731326 
incident 	 9652.944314510409 0.5549280754019316 
overseeing 	 35696.1510036258 0.22695777159731326 
evacuation 	 43186.264089448676 0.22695777159731326 
expatriate 	 21593.132044724338 0.407655276614473 
personnel 	 20741.735069293514 0.22695777159731326 
subsequently 	 28958.832943531226 0.22695777159731326 
rebuilding 	 43186.264089448676 0.22695777159731326 
infrastructure 	 2956.872992747588 1.1228251713993636 
committee 	 4623.576321494206 0.6772651892054877 
advisory 	 17848.0755018129 0.407655276614473 
board 	 2777.965765348191 0.9451660557641991 
technical 	 7513.849944542023 0.5549280754019316 
college 	 22260.89134052518 0.22695777159731326 
boards 	 19335.282787678658 0.407655276614473 
polytechnic 	 46770.575645124845 0.22695777159731326 
pata 	 2034.5383354336448 1.5379058900053064 
sad 	 20321.577284487466 0.407655276614473 
leaving 	 9284.130253272604 0.5549280754019316 
family 	 3018.453645834567 0.780505348675992 
feeling 	 15465.710968574422 0.407655276614473 
cricket 	 52897.996721274765 0.22695777159731326 
sixes 	 52897.996721274765 0.22695777159731326 
easy 	 24443.13442943987 0.22695777159731326 
months 	 2138.5667013005705 1.0706503101601446 
possibly 	 11505.244497608337 0.5549280754019316 
teaching 	 24096.423325164866 0.22695777159731326 
school 	 16414.128757476155 0.22695777159731326 
licence 	 26448.998360637383 0.407655276614473 
awarded 	 30931.421937148843 0.22695777159731326 
cantho 	 26448.998360637383 0.407655276614473 
france's 	 17848.0755018129 0.407655276614473 
electricite 	 52897.996721274765 0.22695777159731326 
eau 	 46770.575645124845 0.22695777159731326 
madagasca 	 52897.996721274765 0.22695777159731326 
venture 	 5423.857416534566 0.8687963950838536 
mekong 	 26448.998360637383 0.407655276614473 
town 	 6110.783607359967 0.6772651892054877 
french 	 4293.743971541669 0.780505348675992 
company 	 1641.4128757476153 1.1228251713993636 
secured 	 21593.132044724338 0.407655276614473 
issued 	 24804.000860998927 0.22695777159731326 
invested 	 38670.565575357316 0.22695777159731326 
sapa 	 26448.998360637383 0.407655276614473 
considering 	 8805.24114101916 0.5549280754019316 
outside 	 2097.748237349982 1.1228251713993636 
vietnam's 	 10579.599344254953 0.780505348675992 
mainstream 	 16737.265728811293 0.407655276614473 
malaysian 	 26448.998360637383 0.407655276614473 
goh 	 26448.998360637383 0.407655276614473 
hock 	 26448.998360637383 0.407655276614473 
guan 	 26448.998360637383 0.407655276614473 
signed 	 9623.550155852568 0.407655276614473 
agreement 	 6105.237784429984 0.5549280754019316 
hoa 	 13224.499180318691 0.6772651892054877 
binh 	 10579.599344254953 0.780505348675992 
projects 	 11881.399412898247 0.407655276614473 
bay 	 8524.39381119575 0.5549280754019316 
hue 	 15590.191881708282 0.5549280754019316 
seen 	 2386.284398747342 0.9451660557641991 
progress 	 22260.89134052518 0.22695777159731326 
express 	 30223.84440131478 0.22695777159731326 
commitment 	 12402.000430499464 0.407655276614473 
stage 	 30223.84440131478 0.22695777159731326 
involves 	 27347.110381472667 0.22695777159731326 
constructing 	 46770.575645124845 0.22695777159731326 
golf 	 18529.421506649378 0.407655276614473 
course 	 10488.74118674991 0.407655276614473 
saigontourist 	 17632.665573758255 0.5549280754019316 
seeking 	 23131.101584194334 0.22695777159731326 
health 	 14160.88127075765 0.22695777159731326 
spa 	 40643.15456897493 0.22695777159731326 
province 	 19335.282787678658 0.407655276614473 
chau 	 6612.249590159346 1.0118761367923732 
springing 	 52897.996721274765 0.22695777159731326 
chi 	 3386.9295474145774 1.2113740753058344 
minh 	 4408.166393439564 1.2113740753058344 
city 	 982.093453174252 1.3150850952338666 
danang 	 52897.996721274765 0.22695777159731326 
beach 	 14784.364963737939 0.407655276614473 
sites 	 4819.284665032973 0.780505348675992 
started 	 5373.831229088686 0.780505348675992 
accepting 	 37058.843013298756 0.22695777159731326 
bookings 	 7556.856674467824 0.9451660557641991 
eventual 	 31700.60250973717 0.22695777159731326 
property 	 6690.006550536227 0.5549280754019316 
built 	 2604.589872369551 1.0706503101601446 
retreat 	 52897.996721274765 0.22695777159731326 
tam 	 46770.575645124845 0.22695777159731326 
dao 	 46770.575645124845 0.22695777159731326 
soft 	 9264.710753324689 0.6772651892054877 
star 	 2324.9111077934444 1.2492665359640707 
daewoo 	 46770.575645124845 0.22695777159731326 
trang 	 26448.998360637383 0.407655276614473 
lodge 	 40643.15456897493 0.22695777159731326 
standard 	 3143.7819870263074 0.8687963950838536 
supplied 	 38670.565575357316 0.22695777159731326 
century 	 1959.4864166273974 1.0706503101601446 
riverside 	 46770.575645124845 0.22695777159731326 
managed 	 35696.1510036258 0.22695777159731326 
ahead 	 33474.53145762259 0.22695777159731326 
site 	 1469.614812470548 1.2113740753058344 
overlooking 	 23385.287822562423 0.407655276614473 
embassy 	 11898.717001208597 0.5549280754019316 
central 	 2209.7850315192845 0.9451660557641991 
plaza 	 12352.947671099584 0.5549280754019316 
complex 	 6690.006550536227 0.5549280754019316 
expected 	 2023.7173945931982 1.1694531186213246 
completed 	 8661.4727905999 0.5549280754019316 
hoping 	 17632.665573758255 0.5549280754019316 
cambodia's 	 13224.499180318691 0.6772651892054877 
eastern 	 6618.99909854993 0.5549280754019316 
corridor 	 52897.996721274765 0.22695777159731326 
allure 	 52897.996721274765 0.22695777159731326 
untouched 	 43186.264089448676 0.22695777159731326 
hill 	 33474.53145762259 0.22695777159731326 
tribes 	 40643.15456897493 0.22695777159731326 
wait 	 35696.1510036258 0.22695777159731326 
modulkiri 	 52897.996721274765 0.22695777159731326 
