term 	 tf-idf weight 	 BM25 ranking 
 appendix 	 1275.2821223631688 1.5041745422401396 
cherokee 	 1822.225849023117 1.5041745422401396 
chowan 	 2232.008232696322 1.5041745422401396 
clay 	 1456.3765376497433 1.5041745422401396 
cleveland 	 1563.6819506742575 1.5041745422401396 
columbus 	 1563.6819506742575 1.5041745422401396 
craven 	 2232.008232696322 1.5041745422401396 
cumberland 	 1822.225849023117 1.5041745422401396 
currituck 	 2232.008232696322 1.5041745422401396 
dare 	 2232.008232696322 1.5041745422401396 
davidson 	 2232.008232696322 1.5041745422401396 
davie 	 2232.008232696322 1.5041745422401396 
duplin 	 2232.008232696322 1.5041745422401396 
durham 	 2232.008232696322 1.5041745422401396 
edgecombe 	 2232.008232696322 1.5041745422401396 
forsyth 	 2232.008232696322 1.5041745422401396 
franklin 	 1275.2821223631688 1.5041745422401396 
gaston 	 2232.008232696322 1.5041745422401396 
gates 	 1563.6819506742575 1.5041745422401396 
graham 	 1563.6819506742575 1.5041745422401396 
granville 	 1973.4643343474625 1.5041745422401396 
greene 	 1714.920435998603 1.5041745422401396 
guilford 	 1822.225849023117 1.5041745422401396 
halifax 	 2232.008232696322 1.5041745422401396 
harnett 	 1973.4643343474625 1.5041745422401396 
haywood 	 2232.008232696322 1.5041745422401396 
henderson 	 1506.1837470986902 1.5041745422401396 
hertford 	 2232.008232696322 1.5041745422401396 
hoke 	 2232.008232696322 1.5041745422401396 
hyde 	 2232.008232696322 1.5041745422401396 
iredell 	 1973.4643343474625 1.5041745422401396 
jackson 	 1247.6398487498307 1.5041745422401396 
johnston 	 1631.6878913584026 1.5041745422401396 
jones 	 1175.2196553633532 1.5041745422401396 
lee 	 1412.4434653499122 1.5041745422401396 
lenoir 	 2232.008232696322 1.5041745422401396 
lincoln 	 1373.143993009543 1.5041745422401396 
macon 	 1822.225849023117 1.5041745422401396 
madison 	 1373.143993009543 1.5041745422401396 
martin 	 1247.6398487498307 1.5041745422401396 
mcdowell 	 2232.008232696322 1.5041745422401396 
mecklenburg 	 2232.008232696322 1.5041745422401396 
mitchell 	 1631.6878913584026 1.5041745422401396 
montgomery 	 1456.3765376497433 1.5041745422401396 
moore 	 1506.1837470986902 1.5041745422401396 
nash 	 2232.008232696322 1.5041745422401396 
hanover 	 2232.008232696322 1.5041745422401396 
northampton 	 2232.008232696322 1.5041745422401396 
onslow 	 2232.008232696322 1.5041745422401396 
orange 	 1305.1380523253981 1.5041745422401396 
pamlico 	 2232.008232696322 1.5041745422401396 
pasquotank 	 2232.008232696322 1.5041745422401396 
pender 	 2232.008232696322 1.5041745422401396 
perquimans 	 2232.008232696322 1.5041745422401396 
person 	 717.4629897625076 1.5041745422401396 
pitt 	 1973.4643343474625 1.5041745422401396 
polk 	 1714.920435998603 1.5041745422401396 
randolph 	 1175.2196553633532 1.5041745422401396 
richmond 	 1822.225849023117 1.5041745422401396 
robeson 	 2232.008232696322 1.5041745422401396 
rockingham 	 2232.008232696322 1.5041745422401396 
rowan 	 2232.008232696322 1.5041745422401396 
rutherford 	 1973.4643343474625 1.5041745422401396 
sampson 	 1822.225849023117 1.5041745422401396 
scotland 	 1714.920435998603 1.5041745422401396 
stanly 	 2232.008232696322 1.5041745422401396 
stokes 	 1714.920435998603 1.5041745422401396 
surry 	 2232.008232696322 1.5041745422401396 
swain 	 2232.008232696322 1.5041745422401396 
transylvania 	 2232.008232696322 1.5041745422401396 
tyrrell 	 2232.008232696322 1.5041745422401396 
union 	 698.652281359677 1.5041745422401396 
vance 	 1822.225849023117 1.5041745422401396 
wake 	 1563.6819506742575 1.5041745422401396 
warren 	 1305.1380523253981 1.5041745422401396 
washington 	 788.0502556276788 1.5041745422401396 
watauga 	 2232.008232696322 1.5041745422401396 
wayne 	 1714.920435998603 1.5041745422401396 
wilkes 	 2232.008232696322 1.5041745422401396 
wilson 	 1175.2196553633532 1.5041745422401396 
yadkin 	 2232.008232696322 1.5041745422401396 
yancey 	 2232.008232696322 1.5041745422401396 
term 	 730.5520520521113 1.5041745422401396 
includes 	 510.5682799145322 1.5041745422401396 
boroughs 	 1631.6878913584026 1.5041745422401396 
parishes 	 1631.6878913584026 1.5041745422401396 
district 	 939.288740952024 1.5041745422401396 
columbia 	 1275.2821223631688 1.5041745422401396 
independent 	 704.8177109874784 1.5041745422401396 
cities 	 1114.6000946606835 1.5041745422401396 
territories 	 1373.143993009543 1.5041745422401396 
american 	 413.5596311422925 1.5041745422401396 
samoa 	 1506.1837470986902 1.5041745422401396 
guam 	 1631.6878913584026 1.5041745422401396 
mariana 	 1631.6878913584026 1.5041745422401396 
islands 	 637.6410611815844 1.7170086981780934 
puerto 	 1275.2821223631688 1.5041745422401396 
rico 	 1337.59329594253 1.5041745422401396 
virgin 	 1563.6819506742575 1.5041745422401396 
considered 	 772.8236516716236 1.5041745422401396 
single 	 803.9249918058895 1.5041745422401396 
entities 	 1305.1380523253981 1.5041745422401396 
digi_tele 	 815.8439456792013 1.7170086981780934 
intercept_data 	 1631.6878913584026 1.5041745422401396 
cdt 	 686.5719965047715 1.7170086981780934 
digital 	 1221.9055076851976 1.5041745422401396 
telephony 	 1506.1837470986902 1.5041745422401396 
page 	 91.54815716514872 1.7170086981780934 
home 	 166.5825510984079 1.5041745422401396 
